post,prefLabel,compulsion,obsession,Compulsion Manual checking1,Obsession Manual checking 1,Compulsion checker 2,Obsession checker 2
"Hi, 
I hope you are all doing okay. I'm back with another long post.
As I've mentioned in my previous posts I struggle with the fear of being attracted to children, including my brother who is 8 years old. It has been a really hard year, and despite the fact that I've been diagnosed with OCD, there are days, like today, when I find this diagnosis completely wrong or unacceptable (no offense to doctors and specialists in OCD). 
My last (online) meeting with my doctor was last week. The meeting and the few days after that went pretty well compared to other days which are hell. However, for the past 3 days I've been getting pretty weird and disgusting incestuous thoughts (they are however more like feelings and urges) about parents and their children. This is not a new thing for me, I had to deal with this a few months ago, but didn't pay too much attention to it. I guess it's back now...
If I see a parent and her/his child walking by our house, I get a response in my body that almost feels like excitement; or even worse the response feels pleasurable. I can't unsee this sick relationship anymore. I can't see a normal parent-child relationship that doesn't involve sexual stuff whenever I'm in specific situations. And it happens with everyone. It happens when I see my mum cuddling my brother, my boyfriend talking to his mum, my neighbour playing football with his two sons. There was a time when I was convinced that it was OCD, because the thoughts and feelings were unwanted and caused a huge amount of distress. However, for the past 3 days it's been terrible in terms that all this doesn't cause as much distress as it used to; I don't feel bad when I get the thoughts and feelings, but I do feel bad afterwards (I'm not sure if this means something though). Sometimes, it even seems that I enjoy the feeling. Also, there are moments when I get weird urges, and it's like I want the thoughts to become true because the response in my body is very strong; as I'm typing it feels like I do want them to happen/become true.
There is another important bit that I would like to add: the urges also happen whenever I hear about something bad/terrible happening in the world. For example, if the news talk about victims of a sex offender, I immediately get a similar response in my body (as the one mentioned earlier) alongside strong urges - again, it feels like I want those or similar situations to happen. Also, I feel a immense amount of guilt whenever I hear about this type of news, and it makes me feel even more disgusting. 
Apparently, both my mind and body are two incredibly repulsive places, and I haven't realised that until I've written these paragraphs.
So, to summarise I'm in huge doubt that all I've mentioned above can be classified as OCD because of the following:
I don't feel bad or disgusted enough when I get all these thoughts, body reactions and urges
         -  the opposite is what actually happens: it feels like I enjoy them and wouldn't mind experiencing them in real life;.
         -  their presence has significantly increased and now happen all the time; sometimes I think about them on purpose;
         -  they seem too dark and disgusting to be part of OCD;
         -  if I try to ignore them, it feels like denial. 
I don't really know what the role of this post is. I'm pretty sure I'm either trying to confess or ask for reassurance. I know they are big compulsions, especially if I have OCD, but I couldn't resist posting on here as I think this is something really important and serious.
Thank you for reading this, and any help would be more than appreciated!
Hope you have a nice and calm evening.","['fear', 'talking', 'guilt', 'site', 'role', 'compulsion', 'hope', 'joy', 'disgust', 'Thought', 'urge', 'OCD']",1,0,1,1,1,1
"Hi! I hope you are well! I battle OCD & generalised anxiety. Over the past 2 years I have done a few mindfulness courses & practice mindfulness meditation. I attend my local Buddhist centre once a week & really enjoy it.
Last week I spent an hour chatting to an ordained Buddhist monk from the centre. He has been practicing meditation for 15 years
I told him about my ocd & generalised anxiety & he gave me advice & a Buddhist perspective.
1) The Spike: When my ocd spikes/triggers & I am tempted to panic, start ruminating etc...he advised that when this happens, I should focus in on my breath. The inbreath & the outbreath. Then I move from there to being with/in my body. Feeling the sensations. The ocd thought is there, & I am 100% aware of it, but I don't follow it, panic, ruminate, question it...I just watch it...
'Oh there's my OCD thought....'
We live & be in the moment, even with a nasty ocd thought!
2)Meditation Practice. To really achieve a mindful state, we have to practice meditation a lot. After a course learning how to meditate, we need to practice at least 30/40 mins everyday.
He recommended a) Mindfulness of the Breath & b) The Metta Bhavana meditations on alternate days.
When we build up our practice, we can drop back into this mediatative state at any time of the day.
We are in our own bodies, following our own breath and watching our minds and thoughts in action.
3)We have to develop a kindness, respect for and love for ourselves. When we meditate & our mind wanders we dont criticise or harrass ourselves; we become our own best friend.
When we are in the midst of an OCD storm we practice our mindfulness, aware of how tough it is & how brave we are. If we fail to become mindful & our OCD carries us away, we dont beat ourself up. Just move on with our day & try again to be mindful.
Living in this moment as it unfolds. Not regretting the past and not worrying about or wishing for something in the future.
All we have is this moment & now.
Our anxiety & ocd makes us worry about the future & bemoan the past & we miss life going on right around us!
4) Buddhist outlook on thoughts. In Buddhism thoughts and feelings are just thoughts and feelings.
We have no control over them. They fire and spark continuously throughout the day. We cannot stop them or stem the tide.
But once we have a thought/feeling...now we have control about the next step.
We can and have power and a choice to refuse to respond to a thought or feeling.
There is a gap between a thought and what happens next. We can make this gap bigger & bigger by practicing meditation. We can be mindful at the moment of an ocd spike & refuse to go down the old road of rumination/questioning & compulsions.
In Buddhist Philosophy there are no morals/ethics attached to thoughts: they dont make us bad people and they dont mean we are likely/more likely to do whatever we think. Ethics/morals only come into question at the point of acting on thoughts.
Thinking something scary, freaky, disgusting, distasteful, horrible does not make us bad people. The are and always will be just thoughts
Everyone in life has the same thoughts as us example:
a) What if I stab my Mum, partner, child.
b) What if I shout out something crazy.
c) What if I murder, rape, assault, abuse a child, a loved one, animal etc etc etc ......
All just thoughts!
5) Anxiety: The monk advised when anxiety arrives, try not to block or fight it. Instead turn towards it. As anxiety builds, move your attention inwards to your body; feel your heart pumping, hands shaking, stomach churning...feel every bit of it...flow with it...dont run from it.
Then invariably the anxiety abates/dissipates.
It is like being stuck in quicksand: if you fight; you sink...however, if you lie back and relax, you will pop out of the sand.
So there you go: this is the advice I got: he was a really nice guy and freely gave over an hour of his time to chat about my difficulties: I really appreciated it!
Tiger.","['hope', 'joy', 'drop', 'regret', 'compulsion', 'disgust', 'shaking', 'anxiety', 'anxiety', 'OCD', 'Thought']",1,0,1,1,0,1
"Hi
I'm 23 and I've been an OCD sufferer my entire life but have only recently become aware of the extent the condition has damaged my quality of life. For as long as I can remember I've had compulsions about small things and OCD of varying different types, including HOCD, sporadic cleanliness, order, repeatedly reloading video games when things aren't perfect, compulsively avoiding reading nasty things so I don't dwell on them later etc. Until now I've never told another soul about this and always been firm in the belief that I could handle it on my own. Eventually all the compulsion and worries have passed until now, which is why I'm reaching out for help. 
I'm a masters student at university and currently under quite a lot of stress during deadline season when I've been hit by an absolute freight train of OCD regret specifically relating to my relationship. It's so bad I haven't eaten or slept properly for the past few days and need any available advice. I have been an extremely sexually repressed individual. It was a topic that wasn't discussed in my house growing up and I started masturbating at a late age and incorrectly. I suffered from prone masturbatory syndrome that I didn't self cure until my gap year and I also had to have a penile frenuloplasty to correct tight foreskin in the same year. I'd had a terrible time at high school having gone through an 'ugly' phase and been badly bullied to the extent that I considered killing myself. As a consequence I'd had no sexual contact by the time I arrived at university. 
When I arrived at Uni I was obviously interested in sex but never managed to have it in my first year. I was lucky in that I'd become better looking since high school and a few attractive girls were interested. I came close but never gone through with it always having performance anxiety. I was anxious (OCD anxious now I remember it) about sex. By the end of first year I was happy, having made a bunch of friends but sexually I was very frustrated. I'd discovered porn while there and used it to help me relieve my frustrations. In second year is where the regret is. At the start I was invited by a girl to go back to hers but due to anxiety and being incredibly drunk couldn't get aroused. I became depressed and wish I’d sought professional help. Instead, I did something I really regret. While at a friends house after a night out that I'd had a big crush on in the past I was left alone in her room. I was looking around and noticed her underwear on her laundry and had a look at it, having little experience with ladies' underwear. I didn't steal them but I took pictures and later masturbated to them. I’d done this once before a couple of months previously with a house-mates underwear that had been left outside my room but didn’t take any pictures. Even then I felt ashamed and deleted the pictures shortly afterwards. This now disgusts me. 
Later that year I met my current girlfriend. She was beautiful and had an amazing personality and really hit it off after she initially acted weirdly around me, having had bad uni relationships in the past. We started dating in late Feb and I knew this is who I wanted to lose my virginity to and eventually the moment came and once again nerves got the better of me after putting the condom on. I was utterly devastated and my anxiety spiralled out of control. I was afraid of losing her but at the same time hadn't told her the truth about being a virgin. The pressure crushed me and I didn't behave well going through a phase of ‘testing’ my sexuality. One of the ways I acted was by flirting with friends who were girls to boost my esteem. I think because at the time everyone at uni was cheating on each other this didn't seem like a bad thing, even though I deeply regret it now. I made it explicit to the girls I flirted with that I would never cheat and I didn't. But on extremely rare occasions there was inappropriate touching like a hand on waist etc. On one of these occasions my girlfriend saw me and I think assumed I wanted to cheat which I made emphatically clear I didn't. At the same time I bought viagra from the Internet to help with the problem and almost had a heart attack in my girlfriend’s bathroom. Something which seems funny now but wasn't at the time. Things had gotten out of control and the worst OCD guilt comes from being in my friends room again. I seem to remember her underwear being on her laundry again and me picking it up. I cannot accurately date this event but I know it happened and that it was different. I wasn't aroused and I think I was testing myself again, to see what I found sexually attractive. I don't remember taking a picture this time, if I did I deleted it quickly or I'd remember but this event horrifies me. I just don't know what I could have been thinking to do such a thing. Over the summer things got better. I told my girlfriend I was a virgin and it felt like a huge pressure off me. The last time I flirted at all was that October at the start of the new academic year when out extremely drunk and then I made it emphatic to the girl I wouldn't cheat and didn't. 
Its been a year and a half since and I've never cheated or flirted and always been firm when girls have come on to me out etc. My girlfriend did her year abroad and this fourth year I've fallen incredibly deeply in love with her. We are extremely close and never fight. With her my OCD symptoms have even all but disappeared, it's only now that I’ve been alone for weeks shut up working that they have returned. We haven't had sex yet but I've stopped watching porn and masturbating and am ready to take our relationship to a sexual level with her after finally becoming comfortable but that's when the guilt hit. For the first time in years I could have nothing to be anxious about but I can't stop thinking about the past and confessing to all my mistakes. Those first few months when I was so anxious and stupid. I never intended to cheat or hurt her in any way and though I knew I'd behaved badly and would change it if I could I'd all but forgotten about it until now. Those events had no emotional significance for me, it was just a bad way to deal with the overwhelming stress I felt at the time. 
Over the past few days the OCD guilt has crippled me. I can't complete my work and I've barely eaten or slept. It goes without saying that I would never behave that way ever again but at the same time I feel the urge to confess the mistakes I made. I'm so close to having everything I've ever wanted with a woman I absolutely adore and I'm not sure if telling her these things would destroy that. I think ultimately she'd understand but she'd never look at me the same way again and I'd desperately want to spare her any pain. This confession could change my life and it'll hurt her which I'd hate to do but maybe it's better to be honest?
Any advice would be hugely appreciated from anyone who took the time to read that. Thanks","['quality', 'outside', 'shame', 'disgust', 'bathroom', 'fall', 'symptom', 'urge', 'compulsion', 'interest', 'anxiety', 'anxiety', 'guilt', 'regret', 'OCD']",1,0,1,0,1,1
"I've been doing really well with my therapy and recovery, but seem to have had a rocky week. I did a lot of compulsions today and I'm feeling a bit down, but I won't let myself be angry at myself and ruminate about giving in to compulsions.
I'm going to go """"so what?"""" and try to enjoy my weekend the best I can and get back on the horse. We can do this. If you have a bad, day, month, whatever, you don't have to scrap the whole plan and say that therapy isn't working. We're human and we will trip a little. We can all fight the OCD monster together. ","['joy', 'OCD', 'compulsion']",1,0,1,0,1,1
"Hi -
So I haven't been on here since December since I was recovering. I've been on prozac since I was 18 (now 24) for depression but I was diagnosed with OCD in January. My psych bumped me up to a higher dosage of prozac - 80mg - which was doing a great job. But I wanted to go off of it because it was making me gain weight and now I'm freaking out!! My OCD revolves around cheating like some of you know...and my most recent """"obsession"""" (I put quotes around it cuz i question whether its an obsession or if its real) is that... well let me start from the beginning. I went to my fiancé's friends place and we all had a few drinks and played card games and such. I was with my fiance the whole time except for when I went to the bathroom. I remember everything from the night despite the alcohol in my system. We came home and continued drinking (just me and my fiance) and I eventually blacked out. I ended up having a dream about cheating on my partner with someone that I had seen earlier that night (well not really cheating just taking the guys hands and placing them in an odd place). But it's just that image in my head nothing else. I don't really remember waking up from it to realize it was a dream, I think I stirred but then went right back to sleep (i dont even remember)...I keep thinking what if it wasn't a dream what if it actually happened? My fiance keeps telling me he was with me the whole time and nothing happened but I think about the dream/image all day and it's driving me nuts! I always question whether I really have OCD or not and if the doc just diagnosed me to make me feel better and everything is true and real??? I have an appt with my psych tomorrow and I think I am going to have him write me a script for Zoloft...apparently it is an SSRI that doesn't cause weight gain. SSRI's are the only thing that seem to help me to accept uncertainty, but the thing that bothers me is I've never been able to say yes or no to the thoughts...but when I'm on the medication I'm kind of just like eh whatever and then the thought goes away. When I'm not I have crying spells and can't concentrate and just obsess and cry all day in the bathroom at work and also I get really bad separation anxiety from my fiance. Anyway I'm kind of just rambling just wanted to vent. Hope everyone is doing okay.","['depression', 'weight gain', 'Medication', 'anxiety', 'anxiety', 'hope', 'obsession', 'bathroom', 'Thought', 'OCD']",0,1,0,1,0,1
"Hi all, hope you're all having a wonderful bank holiday whatever it is you're doing😎 I however am taking an introverted approach and just chilling and if you're reading this I thank you for taking your time out to read my first post on this forum and giving it some notice. I've taken some time out to read others experiences relating to OCD and other mental illnesses, knowing that I am not alone and gaining more insight to a really important topic and by reading other people's stories, by doing this I find that I'm learning more about myself as well. Some made me laugh, some made me cry. But thankyou nonetheless. What a great, lovely bunch of people. 
Just to add a little context, I'm a 21 year old male, recently come to terms with the fact I have OCD. As well as this I also have GAD, major depression and an eating disorder. 
Not getting into too much detail about the discovery of my OCD. Although rather impactful, it in some way has helped me knowing that there is a reason I am the way I am. I'm aware to not use the term 'Pure O' as it's not a medically used term and it is exactly the same as the more commonly known OCD subtypes. My compulsions are mainly in the mind. The themes are around harm, pedophilia, relationships, sexuality, existential, incest, depression and unfortunately the list goes on with various different themes. I've been having these thoughts for what it seems almost all my life. I always thought there was something wrong with me. When I was around 15/16, when I got into a conversation with a friend about mental illnesses. I knew from then on what I had to do, I had to diagnose myself with whatever it is that is wrong with me and I had to then give myself CBT before I get thrown in a loony bin or reported to the police as a danger or even worse, before I could act on them thoughts. For 6 years, that has been my mission. I thought, my intrusive thoughts were a part of me just waiting to burst out at any random moment. I thought that someday I'm going to wake up, something would switch in my brain and I would either black out and forget what I had done or even more frighteningly, actually be completely aware and actually taking pleasure in said scenarios based around my intrusive thoughts. I thought I had a monster, living inside me, just waiting for its perfect time to attack. I wouldn't know it until I knew it.
I have lived (and still live) in complete fear that I am my thoughts and they are a tremendous flaw in my personality. I guess I'm still yet to convince myself that it is true but as you all know, you have your ups and downs with this ever so painful disorder. It has been difficult to me, as Im coming to terms with having OCD, I am currently piecing together all my symptoms and all the intrusive thoughts I've ever had throughout my life. It's like they've all come back at me and I'm in a bit of a pickle. But, I will be getting help very soon, just waiting to find a specialist in OCD and CBT in the Sheffield area and I will be making steps to make my life manageable again as I seemed to of gone off the rails after some family related issues and the breakdown of my relationship with my amazing ex girlfriend. And I am hopeful, even though I am actually scared. And admitting to being scared is something I've never done, even though scared is what I've been all my life. However, opening up to my loved ones about my thoughts, I have received nothing but love, support and compassion and honestly... That's what I was most scared of, their reaction to my thoughts, and in that moment I knew that I had lived in fear for too long. They're heartbroken I'm going through this and have been for a long time, but only because they see me for what I don't. A normal, human being. Just like everyone else on this forum, or reading the forum. You're all normal, at least to us. And take comfort in that as did I when I came across these posts. 
There's a lyric that I've always been attached to, by a band called Meshuggah (shout out to all metal heads on this forum) and I'd love to share it. 
'The struggle to free myself from restraints, becomes my very shackles.' 
I hope that whoever reads this post, whether youre someone who has been diagnosed with OCD for years or someone who is finding answers. Please know you're not alone in this. And it will and can get better because ultimately you deserve it and you ought to have the drive to go out there and do it. Because you are not your thoughts. You know what you are, just look a little deeper, and you'll see you for the beautiful person you are, because all you're doing and all I'm doing, is our own disorderly way of protecting us from the things we fear the most. 
Have a good one guys. Enjoy the glorious weather. Thankyou so much.","['compulsion', 'anger', 'symptom', 'compassion', 'joy', 'depression', 'hope', 'fear', 'OCD', 'Intrusive thoughts', 'Thought']",1,1,1,1,1,1
"Hi, 
First, I hope everyone managed to have some joy and happiness this Christmas, especially those who are struggling a lot at the moment. 
Second, this post is going to be weird so I apologise.
Today I realised something very important. I realised that I actually am a bad person. When I look around I see normal and kind people; when I look at myself I see something disguting and weird (but not in a good way). This sounds silly but I received lots of presents today (I've never received so many before) and I felt so guilty. I don't deserve good things or people in my life. 
Besides the fears of being attracted to children and being an abuser, I realised that I have so many other small obsessions. And they are absolutely disgusting. Take today for example. While having a nap with my boyfriend I had the feeling that I raped him by touching him in a weird way (by accident) and not doing anything about it for 30 seconds or so. While playing with my boyfriend's sister's cats I felt some sort of sick joy; I don't know if that was because I thought they were cute or because of something else. And these are only two examples, but there are so, so, so many other things that make me feel like a deviant and monster. My brain and body are so repugnant because they are the house of some of the most abnormal thoughts and feelings about the most normal things in the world, which automatically makes me a monster. And things would probably be easier if I were sure I didn't like all these feelings and thoughts, but here is the thing: I'm not sure. On the contrary, I think I do like and enjoy them, and I'm just too scared to accept it hence pretend to be scared, anxious and worried about it.
I think there is something seriously wrong with me. I'm a terrible person and I can feel it - I know this sounds weird but I can actually feel it. And because of that I don't want to be alive anymore, I really don't. For some reason I know I won't be able to survive like this for more than 10 (or even 5) years. I will never be happy with myslef; I'm way too rotten and evil inside for that to happen. 
Again, I apologise. I know this is not the post you would like to see during this festive period.","['hope', 'happiness', 'guilt', 'fear', 'obsession', 'disgust', 'joy', 'Thought']",0,1,0,1,0,1
"Hello everyone. I could really use your help right now in identifying whether this is another OCD obsession or just my mind being corrupt
I hav suffered before with OCD obsessions about harming my family and it was the worst experience of my life. I did get treatment in the form of CBT and this helped. However, after my A level exams (which were STRESSFULL) my OCD has returned and now I obsess over harm, inappropriately touching people etc.
Apart from this, a new obsession has come. Whenever I see any young child laughing or playing or just sitting (usually my 8 year old cousin who visits us) I start to have intrusive thought about negative experiences in my own childhood. My father was an alcoholic which left me with very panicky experiences. I get really distressed by thesehorrible reminders and I do cry.
As a result, I avoid playing with my cousin at all costs so don't have to dwell on my own childhood and feel depressed. However, just seeing my cousin once brings these horrible memories which are followed by on-going thoughts in my mind that tell me
'I'm hopeless due to my childhood', 'I will never amount to anything' and 'My childhood made me this way'.
Please help me. I need to know if this is another OCD obsession so I can find some peace of mind and know its not me being a bitter and twisted idiot.
So is this OCD???","['Treatment', 'hope', 'Thought', 'obsession', 'OCD']",0,1,0,1,0,1
"Though it comes in many flavors, one of the more common OCD themes we see on the forum is that of (no) crime and punishment. I wrote it that way for a reason. The sufferer believes they made an egregious mistake or have even committed a crime (what they did was so terrible), yet everyone else on the forum responds that no such crime exists or that the mistake is nothing to worry about. This theme has one thing in common: the sufferer's steadfast determination to punish themselves for the perceived transgression.
Many times someone will raise an issue like this on the forum, then vehemently stick to the belief that the situation has nothing to do with OCD. We see it so often here one would have to wonder how it could not be OCD, since the posts appear on an OCD forum. Further, people with this particular theme often have other, more easily identifiable versions of OCD, lending credence to the belief that the current problem is also OCD.
The main reason why people balk at the thought that OCD is involved is that the situation (the crime) was real. OCD apparently didn't have any part in the formation of the crime/mistake. While that appears to be true in most cases of this theme, the person nonetheless is dealing with OCD now. Real mistakes or errors in judgment or perceived crimes can happen in real life. OCD comes into play when the person becomes overly focused on the mistake/crime/error to the detriment of their ability to live a quality life.
Sometimes the 'crime' took place recently. In many cases it happened years and years ago but suddenly popped into the mind of the OCD sufferer. In all cases sufferers with this theme become obsessed with what happened. They fixate on the alleged crime and can't shake it from their mind. The thought of what happened (obsession) causes distress. And the sufferer performs compulsions, most notably ruminating -- going over the event in their mind repeatedly.
A notable manifestation of this theme is the very common belief that the crime/mistake/error made in the past is absolutely terrible. Sufferers commonly come across as being devastated that they made such a mistake, which they believe is life changing. Interestingly, the nearly unanimous verdict of responders to threads about this OCD theme is that the crime/mistake/error appears to be minor in origin and not worth worrying about.
One by-product of this OCD theme and the way it manifests is what can be an overwhelming feeling of guilt. As everyone should know, OCD involves obsessions (intrusive thoughts) that cause distress. With this theme the majority of that distress is expressed as guilt. Consquently, sufferers with this theme commonly believe that they should be/must be punished for their transgression. This is expressed in self loathing comments and an interest shown in confessing the transgression to loved ones/the police.
Other people look at the situations and see they are minor incidents that should be dismissed, but the sufferers of this theme truly believe it is a case of crime and required punishment. Attempts at reassuring sufferers that they did not do bad, that they are not bad and that they deserve no punishment usually fall on deaf ears.
Like with other OCD themes, sufferers of this theme are their own worst enemies. Although the obsessions (thoughts that the sufferer did wrong) can be fleeting and last only seconds, sufferers can spend hours and hours ruminating on the subject. They can perform other compulsions, such as searching the Internet for stories of people who similarly screwed up, searching to find out what truly bad people do as a way of comparison, seeking reassurance and confessing.
Interestingly, with this OCD theme, the reassurance seeking can be the reverse of what is normally seen. While some people may ask for reassurance that they aren't a terrible person, some sufferers come across as if they want confirmation that they are bad and that what they did was egregious, terrible and worth punishment.
This theme can result in cognitive distortions being exhibited, including all-or-nothing-thinking. """"I did X, therefore I am evil.""""
Like any other theme, this theme can be dealt with using the tenets of CBT. From the cognitive side the person can start saying positive statements as opposed to negative, all-or-nothing-thinking statements. (I am a good person. I make mistakes but I am still a good person).
On the behavioral side, it is important that sufferers identify the compulsions they perform and work to resist them. No doubt ruminating is a big one with this theme. Refusal to confess past transgressions is essential, as is stopping searching on the Internet for similar stories.","['quality', 'Intrusive thoughts', 'fall', 'behavior', 'guilt', 'obsession', 'compulsion', 'interest', 'OCD', 'Thought']",1,1,1,1,1,1
"Hey there,
first of all sorry for my English. I´m from Germany and hope that everybody can understand...
Well I´m 23 years old and after my last relationship (three years ago) everything started...my last boyfried was a lier and didn´t treat me very well and at the end I realized that he just lied to me all the time...yes and that was the point where I lost my confidence in other people and at least my confidence in me.
I have sworn that I´m never gonna hurt somebody that way and that I never let somebody that close to me that he is able to hurt me in that way again.
Very soon after that break up I got into a new relationship and put all the problems and the distrust into it...
And very soon my first two OCDs started - first of all I had to question my boyfriend everything. I actually thought that I´m able to get the confidence on a rational way and asked him if he really loves me (just an example), and had to demand it over and over again...I always have to muse over and over about such irrelevant things and then I think I found an aspect so that I´m totally """"sure"""" that my boyfriend lied to me and then there´s such a strain that I actually """"need"""" to ask him again...
The other thing is that I started getting sexual obsessions because I was afraid to cheat on him and thought """"If you have any sexual thoughts with another man, it´s clear that you are a cheater"""". And so there was the compulsion NOT to think anything and so all came up...after a few month I told my boyfriend what debites me and that I don´t want all this etc. And he was very friendly and told me that I don´t need to worry and everything is okay as long as I don´t want it.
And at that point I guess the compulsion searched for another topic that it´s as bad as the topic before and I guess he found one which is even worse - children!
I am studying pedagocy and really love kids, I´ve always worked with them and it was my dream job! But then POCDS started - it´s so terrible! These thoughts I don´t want to have and then (often when I just see kids,, without thinking anything) there is this feeling down there, just like an physical arousal but I´m never sure if it´s really one. I hate that feeling and the thoughts and that I have das disorder and I´m so sad that I can´t be that opened and free in the near of the kids! But there is this feeling. I know that I´m very uncalm and full of anxiety but I still don´t know what this feeling is
Can anybody explain me the difference beetween real arousal and """"groinal response"""" (I´ve often read about this but - as I said - I´m German and don´t really find a good translation)?
Since a few weeks or even month I´m in a therapy but don´t have the feeling that it got better yet.
Does anybody have any tipps for me?
Charlotte","['hope', 'obsession', 'anxiety', 'anxiety', 'OCD', 'compulsion', 'Thought']",1,1,1,1,1,1
"So I've been doing better with my harm intrusive thoughts but it feels like I'm falling down again . I got to the point where I realised it wasn't me thinking the things and that they were lies . Now once again I'm starting to believe them and think """" I'm going to ..."""" It feels so real and like Ill just do it at any moment . They mostly revolve around my mom and cat . Something says """" your going to do this to her or that .."""" I can't even think about my mom without getting a gut wrenching feeling . I just basically have it pounded in my mind that ill do it . I also get blasphemous thoughts and even when she hugs me I think just mean things . I love my mom but its so hard to feel as much love or enjoy time with her now . I'm so tired of this . I saw a phychiatrist yesterday and he wasn't helpful . I waited a month to see him and he just NOW decided to sign me up for therapy which will take forever . I feel helpless. They say its fear but how could fear make you feel like you would do these horrible things or that you may even want to ????? I really have no hope","['Intrusive thoughts', 'fall', 'joy', 'hope', 'Thought', 'fear']",0,1,0,1,0,1
"Most of the healthcare professionals that you see about ocd..have never experienced it.... How can someone truly take advice someone on fighting and defeating a demon....If the person giving advice has never battled on in the first place. Understand this... the mind.. is a mechanism... it is a tool.... it is not something to be identified with.... any labels the mind gives on your being.. will be false.... because you are flowing and ever changing. The mind poisons the heart if the mind is the master and the heart is the slave... to reverse this dissonace is the key to defeating OCD. Its all about acceptance of yourself and your emotions/heart/inner intuiton..... beacase i bet you ANYTHING... your deep intuition does NOT agree with ocd delusions....Its it because you are giving all the power to your mind.. and not to your nature... The problem lies here... we are tooooo neurotic and in the HEAD that weve lost our bodys intelligence... each time we feed this demon.. it eats at us. Step 1 is to do a cartharis... HEAVY chaotic breating.. through the nose.. in. out.. in. out.. forcefully.... second... you must breathe DEEP into the belly... the reason that weve become so detached from our true.. happy.. nature.. it because weve been disconnected from the sensitivity of the body.. and the intelligence of ones heart. Let out all youve been holding in, and do not JUDGE it... let your emotions go... do this in a space where its just you alone.... cause thigns could get a little intense.... this will help bring you back into the body..and soul. Wise man oen said... the reason you are DEPRESSED... is cause you are not EXPRESSING. Express... throw it all out... forget about """"being good"""". The concepts of good and bad has gotta people twisted. Once the love starts arising in your heart.. from non-judgement on ones self... You will naturally become a loving person, or """"good"""" so to speak... but i dont like using that word... there is no GOOD and BAD...or EVIL... There are people who trust from within.. and there are people who fall victim to the DEMON(ocd).. and let it dictate what they should do. The RIVER OF LIFE that flows there is a FIRE inside you..... a FIRE.... there is BEAUTY.. inside you!!! Close your eyes... jus let it go.. its okay to flow in the .You must build that courage... i know its hard sometimes.... but breathing exersices will help.. If you want more information on the excerises.. let me know!!!!!! Trust is key.... Im Reminded of a Song... called insanitys cresendo... the lines goes """"unlearn and the cleansing comes""""..... Now i have that demon called ocd on puppet strings, turned the tables. The other key is just to Watch... remaif aloof and watch these intrusive thoughts from a distance.","['fall', 'Intrusive thoughts', 'Thought', 'OCD']",0,1,0,1,0,1
"So I've been dealing with harm intrusive thoughts since I was going through a miscarriage about 6 months ago . They mostly revolve around my mom all day .. But I get them about others too . I've noticed I only get them about people that are weaker than me . Like one night I was having horrible intrusive thoughts about my mom but it gave me peace of mind knowing my step dad was in there so I knew if I tried anything he could stop me . I've always been a VERY compassionate person and still am but these thoughts make it hard to see the true me. Does it mean I'm crazy since my thoughts go after kids, dad that was in hospital , my grandpa , ect ect people that are weaker than me????? I hate this I just want to figure out why I'm having the thoughts and be able to get rid of them!!!","['miscarriage', 'compassion', 'Thought', 'Intrusive thoughts']",0,1,0,1,0,1
"My intrusive thoughts are never nice, at all. But tonight they are horrific. It’s telling me that it knows I risked several minutes of my life saying no to it and by heck is it letting me know that.
I can’t settle or sleep because it is telling me there’s someone in the loft waiting to murder me when I sleep. It’s telling me a family member is gonna get really sick. It’s telling me my dogs will escape and get hit by a car. It’s telling me that I’ll fall unconscious in the bath and drown. I’ll get stabbed at the shop. I’ll watch someone be beheaded. All because I came down the first three steps of my staircase without going back up.
See every time I’m suckered in where I believe it hasn’t noticed and it’s let this one slide. How stupid of me. It does notice, it just bides its time…. waiting for me to relax and not think of it and then BAM. There it is. Harassing me again, torturing me with horrible thoughts and then when I try not listen it shows me some of them. I know it is nonce and unrealistic but can not manage them. ","['Intrusive thoughts', 'fall', 'Thought']",0,1,0,1,0,1
