post,prefLabel,obsession_first_checker,obsession_second_checker,obsession_third_checker,compulsion_first_checker,compulsion_second_checker,compulsion_third_checker,postAnnotations,mergedAnnotations,Compulsion exp,Obsession exp,agreed_obsession_label,agreed_compulsion_label
feel like going panic attack,[],0,0,1,0,0,1.0,[],[],,,0,0
go feeling denial pocd hormanes crazy sorting thinking link focus edited march 8 2012 angelwings,['OCD'],0,0,1,0,0,0.0,[],['ocd'],,,0,0
time got laugh,[],0,0,1,0,0,0.0,[],[],,,0,0
touch food without hand sanitizer know touch everything eating food want stuff touch greasy dirty hand kind like mind divided unreasonable thing soon instance thing get bad crumb bread fall ground wipe whole floor least clean material soap thing like ordering cigarette box lighter facing opposite direction counting hole watch continuously keep reassuring long time key placed symmetrically registration book card continuously reassuring keep counting long time well nobody allowed touch guitar least clean twenty time stand number five accidentally count landed keep counting several time feel oh going safe actually landed certain number except number lucky enough day count thing three four five bad luck worst ever count thousand time even though realized done already know mind told even resist bit longest time counting thing 6 hour straight took prozac day took time day realized flunked exam campus resist thing many thing give detail one one sorry bad english hope understand elaboration symptom,"['fall', 'site', 'hope', 'symptom', 'Food']",1,1,1,0,0,0.0,['hand'],"['food', 'symptom', 'fall', 'site', 'hope', 'hand']",,,1,0
jus really needed support please really bad ocd day every day week jus much jus feel overwhelmed really see good anything got much going around lovely family great friend nice thing look forward jus feel happy ocd unbearable recently really feel like loosing usually bad holiday many worry usual bad place ocd right,['OCD'],1,1,1,0,0,0.0,[],['ocd'],,,1,0
saw hour gp everything said wasted time abusing nh go alone bed cry afternoon confusee,[],0,0,0,0,0,0.0,[],[],,,0,0
woke even though feel like zombie woke half hanging bed thinking today going refuse listen ocd instance bed sheet half hanging would like right see going would neatly make bed yet whole body hanging half bed lastnight messy would looked yet asleep ocd decided take break well mr ocd taking break today allow sleep looking like uncapable person day make sure making sure thing arr checked etc sod ocd done today take back seat journey conpulsionz today argh right let u give go xx tnr,['OCD'],0,0,0,0,0,0.0,[],['ocd'],,,0,0
friday walked work could see gp last minute thing really tough worried long weekend gave sleeper refered home treatment team saturday overdosed spent day night hospital work since could face want try go back work tomorrow completely dreading know backlash walking taking yet sick leabve feeling like another od building home treament touch feel alone,['Treatment'],0,0,0,0,0,0.0,[],['treatment'],,,0,0
worry saying implying bad dad especially term saying done said anything untoward earlier friend got car said r said today started say something think thought referring bickering earlier quickly realised meant work worried though second thought meant something sinister ahd head something sinister spoke based simply think sinister stuff also said believe end march already time fly said know creepy panicked like use word creepy main concern telling friend story read man trying kill woman room said something like would able scream though like changed read scared even scream petrified thinking actually say imply hell mean reason think like faint memory young trying cry could petrified made remembering dad untoward best co true distraught iv mentioned based thinking kind feel remember dreaming something like trying call whatever reason could kind feel remember younger scared night nothing dad like house noise id watched something horrible tv scared like kid get dark night occasionally remember thinking time dad hearing noise able scream maybe thinking bad way hoping could hear stranger house ah scared mind dad lovely man even driving evening friend twice like went interrupt friend speaking say something else like co thought missed turning friend house remember think intentionally said something sinister dad pervy also bar saying man fit 24 said let u hope like older men old guess know said knew friend would like like dad age laughed said yeah oh yeah maybe worried whether raised eyebrow pulled face say know like saying like dad fanciable way like dad age saying like kind joke care think would imply think would sure meant matter said know know co know port sound like saying like fact know would mean age think id say test see implied thought please help fancy dad second speaking know think mean head end saying implicating weird stuff know anymore understand head,"['syncope', 'anger', 'hope', 'Thought']",1,1,1,1,1,1.0,['thought'],"['syncope', 'anger', 'hope', 'thought']",,,1,1
hello everyone second therapy session day hvg missed last week one due feeling awful talked self perpetuating cycle anxiety punishment perfectionism diagram cycle helped reinforce idea clearly time feel failed big time see way troubled mind yesterday despite feeling right happy went ahead bought something trying nearly week something broken wanted replace beforehand got thinking could get feeling strong hard get take time effort misery anyway said wait felt allowed bought anyway order day went hair done thinking age hoped could start feeling ok soon anxiety lack peace mind thing led driving crazy think straight wonder return item settle worry course return hair partly went hairdresser yesterday make live maybe wrong approach know gutful lately feel made bad unnecessary habitful choice caused misery went 2 exposure try show strong correct thing really scared deserve feel okay thing done exposure right much wrong time whatever also think could stand without thing right regret recently able take baton run felt good thing bit progress belt blame terribly messing chance stomach self enforced exposure desperation know possible live peacefully done accept right know long post really need feedback point seriously lost floundering week previously first time made small important step bit step towards helping make sense anyone feel jepordised peace mind progress also credibilty hope able bear need answer please feel losing confused scared anyone think hoping everyone else good managing take advantage sunshine bl,"['feeling strong', 'regret', 'anxiety', 'anxiety', 'hope']",0,0,0,0,0,0.0,['hand'],"['regret', 'feeling strong', 'anxiety', 'hope', 'hand']",,,0,0
pure thought,['Thought'],0,0,0,0,0,0.0,['thought'],['thought'],,,0,0
hi guy exposure therapy mean guess contamination thing stuff like making someone drink without washing hand shaking hand someone washong hand know would thought though like thought bad person hurt someone also pure kind stuff,"['washing hands', 'shaking', 'Thought']",1,1,1,0,0,0.0,"['washing', 'thought', 'hand']","['washing', 'shaking', 'thought', 'washing hands', 'hand']",,,1,0
hello sure even know want anyone tell terrible harming thought wishing harm come people care stand anymore hard write co almost sure reading understand always part think people think sicko hate thought much thing terrifying alot time mum ocd found ultimate torment constantly plague terrible thought person prob care scared seeing speaking mum going trigger obbsessions live like hate thought bad first place maybe point illness hospital coming year since addmitted starting come medication citalopram never worked anyway cbt much either get wrong though good time found self help strong weapon book read changed thing lot thought secret ritual ian osborne psychaitrist ocd compassionatley written rambling idea person actually trigger scaring love mum family much feel neverending thanx reading richard,"['Medication', 'Rituals', 'compassion', 'OCD', 'Thought']",1,0,0,0,0,0.0,"['ritual', 'thought']","['rituals', 'ocd', 'compassion', 'medication', 'thought', 'ritual']",,,0,0
hi read another thread peaple problem tap turning washed hand etc anyone ever problem using tap inadvertently touched bit water come could use tap water would dirty anyone understand,[],1,1,1,0,0,0.0,['hand'],['hand'],,,1,0
interesting one forget something truly horrible done rjc,['interest'],0,0,1,0,0,0.0,[],['interest'],,,0,0
wanted say quick hello everyone ocd 15 year thing gone hill moment finding hard talk anyone feel fake depressed probably help feel talking problem moment sure real feeling real feeling wish someone could get head see wrong feel like lying others sorry go xx,"['OCD', 'talking']",0,0,0,0,0,0.0,[],"['talking', 'ocd']",,,0,0
get self help book maybe could order one maybe could keep diary becuase writing help x,['writing'],0,0,0,0,0,0.0,[],['writing'],,,0,0
hi everyone hope good day today found nightmare neighbor kindly stored item would u item car boot contaminated parked daughter street raining went past dog poop worst nightmare ever car taken u due husband benefit stopped since appeal hope car october reason neighbor came around today said item husband went front door contaminated oh god really panicked ultimate exposure therapy deal got shower yet really scared going husband sorry vent know people understand forum thank reading xxx take care everyone x,['hope'],1,1,1,0,0,0.0,[],['hope'],,,1,0
hi everyone still struggle eating meat fish even egg want eat thing dare food panic used love dinner dread feel utterly defeated xx,['Food'],0,0,1,0,0,1.0,[],['food'],,,0,0
info visit website revenge ocpd personal account destructive condition experience firsthand combined objective analysis happen master degree psychology http see ocpd,"['site', 'object']",0,0,0,0,0,0.0,"['hand', 'obsessive']","['site', 'obsessive', 'hand', 'object']",,,0,0
info visit website revenge ocpd personal account destructive condition experience firsthand combined objective analysis happen master degree psychology http see ocpd,"['site', 'object']",0,0,0,0,0,0.0,"['hand', 'obsessive']","['site', 'obsessive', 'hand', 'object']",,,0,0
hey know right place say describes depression forum description thing apart ocd thought 2 thing bothering first really really paranoid time know stop like class hear someone laugh get convinced somehow know irational also really convinced everytime try say something answer question everyone laugh laugh think silly think help getting confident college walk past someone move hand flinch annoying stop reaction getting point tense body walk past people control make look strange people likley give trouble second thing keep hearing voice past heard voice see thing heard 3 voice recently usually would dismiss mi hearing thing identified start happens hear voice every often know sound like 2 people standing outside bedroom door conversation talking bother scared know must something wrong hearing voice,"['depression', 'OCD', 'Thought', 'outside', 'bedroom', 'talking']",0,0,0,0,0,0.0,"['thought', 'hand']","['ocd', 'talking', 'depression', 'thought', 'bedroom', 'outside', 'hand']",,,0,0
one please tell would know thougth thinkin iam haveing breackdown got deperssion stop comeing thinking 24hours day get know ocd thought love think coz iam going holiday 2mor made thought hole lot worse keep saying myslef ocd got deperssion brother think coz watch ocd gone mad,"['Thought', 'OCD']",1,1,1,1,1,1.0,['thought'],"['ocd', 'thought']",,,1,1
seems low dose normal range ocd,['OCD'],0,0,1,0,0,1.0,[],['ocd'],,,0,0
would like start post people post positive action taken overcome ocd remember little thing add embrace help others time posted situation immediatly decided delete realised really form reassurance legend others say get uncomfortable turn working 4 step look finish ocd completely take care bed hopefully post positive action taken,"['hope', 'OCD']",0,0,0,0,0,0.0,[],"['hope', 'ocd']",,,0,0
evening came get dose also ob thought plagued day positive tell u done however small,['Thought'],0,0,0,0,0,0.0,['thought'],['thought'],,,0,0
went gym got happy endorphin flooding,[],0,0,0,0,0,0.0,[],[],,,0,0
work busy kept mind worrying came watch united mess fulham lol,[],0,0,0,0,0,0.0,[],[],,,0,0
1 minute feel ok start feel real sometimes could could mind want hurt something small mean world,[],0,0,1,0,0,0.0,[],[],,,0,0
hello thought would write small update progress 1 month today went back work 3 month far gone much better expected although want get ahead taking day day really worrying worst thing could happen typical ocd guess really bad thought definitely worth taking plunge far basically whole exposure therapy last 4 month still way go thing getting better hope last thanks everyone helped last month tommo,"['OCD', 'hope', 'Thought']",0,0,1,0,0,0.0,['thought'],"['ocd', 'hope', 'thought']",,,0,0
hi wanted share little fact drew home tommrrow clapping soo looking forward mised sooo much looking back last 3 week dotn think done 2 bad yes iv low yes ocd feild day made feel proud self ocd decied 180 telling drew come back becasue like see ti say want point time realy coudlnt care le ocd thought say becasue wrong lol sat cry sooo happy,"['Thought', 'OCD']",1,0,0,0,0,0.0,['thought'],"['ocd', 'thought']",,,0,0
thought getting better controlling thought come back worse ever urge strong minute feel like literally going go ahead something want deep know would never react thought mind really convincing say yes going sometimes really convinced bad person maybe thought urge strong litterally shout stop self going something right seriously deal anymore honestly thought urge gone good xxx,"['urge', 'Thought']",0,0,0,0,0,0.0,['thought'],"['thought', 'urge']",,,0,0
feel sad helpless incapable know fault people react med different way twelve year washing washing washing trying heal avail feel hopeless skin red raw keep washing feel like choking start new med work week matter high dose stop working first week alive fierce capable pulled back drowning nightmare crowd look incapable helping break see break cope taking one step forward pulled eight step back currently feel like falling,"['hope', 'fall']",0,0,0,0,0,0.0,['washing'],"['hope', 'washing', 'fall']",,,0,0
checking daily exposure great thing never felt better get thought like purposefully move towards instead trying escape thought fade quickly power unreasonably believing going treatment everyone xx,"['checking', 'Treatment', 'Thought']",0,0,0,0,0,0.0,['thought'],"['treatment', 'thought', 'checking']",,,0,0
think posted exactly year ago birthday got word kill stuck head believe nonuse reason began play feel like make go crazy word non stop brain fear going go mad got theme jumped something else month back word seems stuck hate much think would scary word going head might drive nut naturally word alot kill kill kill advice guy x,['fear'],0,0,0,0,0,0.0,"['theme', 'scary']","['scary', 'theme', 'fear']",,1.0,1,0
hi said would come back update positive see lot new people board hope regular poster 6 month ago dealing ocd issue remember board great learn also form reassurance hold back fully functioning delighted say well way recovery get daily routine relative ocd ease get anxious towards end work day notice get time week larger event difficult even provoke anxiety although quite worried going away wedding full week month saying least place handle recovery slow july 12 month ago began recognise problem ocd took full year would say problem largely manageable year mark thing started become easier gain somewhat exponential would describe tackling ocd trying dismantle massive block ice ice pick initially chop away little little observable effect time ice begin thaw chunk falling bigger bigger pulling away strip important tool tackling erp put ocd provoking situation often possible create anxiety constantly test look month ahead see new month ahead provoke ocd help build coping technique july join public speaking club month start working new work buddy done ocd point exhaustion physically ill alot last year stress dealing ocd made susceptible common cold flu notice day week tire try add erp exercise lowest ebb compare frame mind month ago several month ago improvement become marked time another key unlocking ocd longer fearing theme remove ocds power may involve temporarily accepting absolutely terrifying thing longer fear reaper reassess perspective true stopping reassurance activity another important step attention detail important help therapist helped identify reassurance technique spot real time stopping real key identify easy time becomes easier hope people board useful getting wanted share experience hope others take encouragement,"['fall', 'exhaustion', 'anxiety', 'anxiety', 'fear', 'hope', 'OCD']",1,1,0,0,0,0.0,"['theme', 'hand']","['exhaustion', 'ocd', 'fear', 'fall', 'anxiety', 'hope', 'theme']",,1.0,1,0
diagnosed ocd year ago week know think med realize problem speak problem still grasp stand still trying deal cbt med helped,['OCD'],0,0,1,0,0,0.0,[],['ocd'],,,0,0
hello recently faith god increased considerably last week notice difference ocd faith helping deal ocd different way ocd try doubt faith let deceive wondering mentally blocking ocd thought could long term damage someone later life know possible hope occasionally get splitting headache wonder due mentally blocking ocd thought faith increased usually let thought mine god know know ocd people get thought like dismiss thought may try hound physically cry end arguing case win getting angry certain distressing thought make ocd stronger matter nicest person world still get distessing thought point think due trying make sense world live mentined technique say case anbody reading know distressing thought come think ocd register ocd thought thought go away really work give trying faith get know,"['hope', 'OCD', 'Thought']",1,1,1,0,0,0.0,"['distressing thought', 'thought']","['hope', 'ocd', 'distressing thought', 'thought']",,1.0,1,0
want let know despite good knowledge experience around ocd many issue seems messed self bad mental state right ocd let study make relationship able work early 30 male proud condition age currently unemployed trying study exam public sector ocd problem throttling decorate already bad mental state mom blame state piss reminds age grow stop acting like child problem nobody else hate fighting whether responsible condition know mentality help still say blame last time always abusive troublesome personality even world blaming without friend without girlfriend know reason respond properly interaction suffer serious ocd issue since childhood many time doctor attempted fix medication psychologist psychotherapy partly failed long run going doctor option anymore know medication take order feel temporarily good hate side effect tired next door specialist seem exist area ocd manifest many different area really many latest serious attack followed attempt study job exam let u call quality audio system set car feel guilty get accident hurt someone sell car every time assemple part disassemple assemple lately decided study exam new job mind asks new ritual disassemble system completely car sell leave factory radio back finally ocd completely let alone hand doubt ocd leaf alone performing ritual time impossible exam decided career future afraid perform ritual disassemble audio system car know ritual last task perform ocd leaf alone really ritual big ritual open car completely take time energy meantime feel reason feel right significant priority need human touch problem doctor need human suffered similar condition experienced face face condition people tolerate strange stuck personality leave know wish good friend totally left alone world sorry calling mom b hate,"['quality', 'guilt', 'Medication', 'OCD']",1,1,1,0,0,0.0,"['ritual', 'hand']","['ocd', 'medication', 'quality', 'ritual', 'guilt', 'hand']",,,1,0
hi guy long time see well like said ten day free med gp wanted get blood pressure tried could time going pretty well get kind scared sometimes pure lot stronger without med feel like time depression started come back lot happened weekend go two funeral deal lot heartache sometimes feel like emotion back handle anybody get like go life numb med fine feeling thing anyway proud dealing ocd without safety net want pat back rather everybody site helped learn live illness thank may happy holiday laura xx,"['depression', 'OCD', 'site']",0,0,0,0,0,1.0,['hand'],"['ocd', 'depression', 'site', 'hand']",,,0,0
often hear ocd one ten disease world anyone list looked net time never found anything,"['OCD', 'disease']",0,0,0,0,0,0.0,[],"['ocd', 'disease']",,,0,0
thanks summerleft thought id article ocd fred penzel written fantastic article ocd slightly wording chronic believe ocd chronic overcome fully hope help link http legend,"['Thought', 'hope', 'OCD']",1,1,1,0,0,0.0,['thought'],"['hope', 'ocd', 'thought']",,,1,0
10 year ago darkest day life massive grip ocd came across ocduk late year caramoole others around help others made full recovery ocd remained free ever since huge thanks also say huge thanks providing information knowledge gained last 10 year able offer help advice way point actually changing people life better keep good work everyone certainly journey legend edited september 24 2014 legend,['OCD'],0,0,0,0,0,1.0,[],['ocd'],,,0,0
realised goto place tomorrow avoided real choice working beating anxiety go,"['anxiety', 'anxiety']",0,0,0,0,0,0.0,[],['anxiety'],,,0,0
realised goto place tomorrow avoided real choice working beating anxiety go,"['anxiety', 'anxiety']",0,1,1,0,0,0.0,[],['anxiety'],,,0,0
friend partly influenced idea think could beneficial people forum basically suffer ocd easy get sucked negative feeling bad thought bad mood bad everything started order remind actually even thick nastiness still thing valued make u happy basically idea keep diary 100 day straight make least one entry every day made happy thing big small deem appropriate personal done keeping diary example friend putting picture facebook every day one thing made happy huge force always feel like entry something example first entry coffee day entry horrible awful stress college awful time ocd awful time people waking life rubbish day one thing always look forward black coffee get college put diary idea limited 100 day could could 50 wanted hell could week wanted two day already feel bit difference going look back whole thing see nothing thing made happy mention ocd mention exam mention anything negative one thing every day made feel little bit happy anyway suggestion think good thing exactly difficult commit really cheat thing anyway hope help somebody good luck ollie,"['Thought', 'hope', 'OCD']",1,1,1,1,1,1.0,['thought'],"['hope', 'ocd', 'thought']",,,1,1
bit confused post read doubtful like need 100 certainty need 100 certainty know obtainable however need feel pretty close certain let u say 95 sure however feel sure like people still fair bit doubt really struggling fell need lessen doubt trying figure event thought head however push doubt mind come something else mean real doubt ocd doubt,"['Thought', 'OCD']",0,0,1,0,0,0.0,['thought'],"['ocd', 'thought']",,,0,0
12 year ago freed grace god severely afflicted life especially intense 5 year overcome simply opposite everything felt compelled wanted thing straight would make crooked perfect imperfect clean messy one liberating experience life sort transformed circus clown bit time due much glee freedom felt let anyone tell something coped fully healed healed feel bit tension due obsessive habit obeyed know tension steadily decrease continue joyfully disobey feel need ordered straightened etc wish complete success another friend also became fully healed due someone simply telling regard unseemly habit stop simple remember initial tension due performing certain habit eventually replaced exuberant freedom opposite certainly quickest way taste freedom opposed simply habit enjoy making unusual spiritual initiation edited april 16 2013 freeofocd,"['OCD', 'site', 'joy']",0,0,0,0,0,0.0,"['ritual', 'obsessive']","['ocd', 'joy', 'obsessive', 'site', 'ritual']",,,0,0
question person suffering ocd completely free always teeny little bit buggering every,['OCD'],0,0,0,0,0,0.0,[],['ocd'],,,0,0
close reaching 1000th person become member charity since launched membership 2 year ago 987 member would love crown 2006 style reaching 1000th person become member help ocd joining today month,['OCD'],0,0,0,0,0,0.0,[],['ocd'],,,0,0
18th august 2004 steve sharpe became 1st member 2 year later somewhat apt celebrate new year recruited 1000th ever person member january 1st 2007 clapping actually active membership much le 1000 charity flourish encourage member continue renew membership expires behind scene working hard bring money charity still need help yet please think becoming member cost month huge thank every one supported u since 2004 together make difference,['OCD'],0,0,0,0,0,0.0,[],['ocd'],,,0,0
hi everyone day 5 taking citalopram 10g heen suffering ocd make fear disease death particularly afraid rabies month ago right hand cut wire vaccinated dog licked hand also bit lightly obvious wound left know fear irrational keep searching information internet medication side effect make even anxious day suffer increased anxiety depression feel headache pain hand leg including part cut wire mentioned recall fear rabies keep touching forehead know whether fever may guess yes eager find information medicine side effect focus common side effect citalopram help thank edited august 16 2010 johnhtwan,"['OCD', 'disease', 'Medication', 'anxiety', 'anxiety', 'depression', 'fever', 'fear']",0,0,0,0,0,0.0,"['irrational', 'hand']","['ocd', 'fear', 'fever', 'disease', 'medication', 'depression', 'irrational', 'anxiety', 'hand']",,,0,0
stuck dose little due lot life trial tribulation plus course ocd got panic tuesday usually see gp every two week friday regarding withdrawal program thought might able get repeat give two day notice course surgery shut today good nature dependency hopefully see next friday instead reflect meantime going 9mg would 1x5mg 2x2mg per day long way 40mg day tough journey appreciate support received forum best wish phil,"['OCD', 'Thought', 'urge', 'hope']",0,0,0,0,0,0.0,['thought'],"['hope', 'ocd', 'thought', 'urge']",,,0,0
hi one deep brain stimulation know anything card havinig ocd,['OCD'],0,0,0,0,0,0.0,[],['ocd'],,,0,0
hi everyone gave birth 11 day ago gorgeous little girl 3 older child previous relationship youngest 14 bit gap historically ocd always got worse pregnancy worst pregnant 14 year old lot stress life time sure help anyway fast forward ocd manageable pregnancy reared head old thought time time 11 day since birth struggling bit theme always cheated forgot got pregnant toilet seat theme time helped fact seems focused fact partner 2 older son living home every time see trigger thought trying really hard reassurance seek struggling rumination step trying prove wrong confessing thought partner mum great know however fact discussing thought making feel dirty guilty scared type thought mean actually feel physically dirty like deserve happy scared spoiling partner feel like need prove 100 stop quite traumatic birth lost lot blood found strep b baby swab test routinely uk spent day scared losing 3 son ecstatic daughter bit history left abusive marriage 2 year ago emotionally abusive time lovely threw ocd front kid resulted almost justify hope believe thought ex managed turn 18 year old son miss massively said awful thing anyway rambled enough advise would greatly appreciated back thinking maybe ocd especially thought back different partner wonderful thanks reading x,"['toilet', 'guilt', 'hope', 'OCD', 'Thought']",1,1,0,0,0,0.0,"['rumination', 'theme', 'thought']","['ocd', 'rumination', 'toilet', 'thought', 'hope', 'guilt', 'theme']",,1.0,1,0
hello first time son nearly 12 beside anxiety taken doctor doc said social phobia son do like eating public son also scared sick sick 5 year night scared going sleep incase do wake frightened something bad happening u taking back doctor next week felt need join possibly get advice last night cooking dinner together ended shouting something never done reacted badly beside explained felt everything fault felt ashamed feel sometimes people get angry forget anyway came time eat started cry saying feeling feeling eats sick eat dinner lot sorry ramble really helped write looking back see really big problem action required soon possible high achiever school friend socially seems revolve around eating sleeping advice would appreciated regard ali,"['anxiety', 'anxiety', 'shame']",0,0,0,0,0,0.0,[],"['anxiety', 'shame']",,,0,0
hey everyone name callie alice 18 year old essex uk severe sufferer ocd past 11 almost 12 year began 7 sadly lost parent tragic accident long death developed obsessive compulsive disorder always thought kind crazy ritual actually pretty dangerous hospital due effect one occasion ocd revolves pretty much around number magical thinking huge supersticious thought main issue surround number 12 triskaidekaphobia devil number say see ritual counting loudly repeating number 7 time hurt pretty scary actually currently arm bandage event including scissors night ago okay late august actually hospitalised stabbed side knife extremely dangerous cbt session e r session week since see improvement also given different medication effective managed get knife thing however kind still hurt ritual hate would getting help going get better xx,"['Medication', 'Thought', 'anger', 'OCD']",0,0,0,1,1,1.0,"['ritual', 'thought', 'scary']","['ocd', 'anger', 'medication', 'thought', 'scary', 'ritual']",,,0,1
say mean flippantly still struggling every blip minor problem issue computer immediate thought pill guess almost instinctive long phil,['Thought'],0,0,0,0,0,0.0,['thought'],['thought'],,,0,0
well oday well setting worrying also managing wind bro tell dr left message bros asked anything serious like wave come worrying stressting wondering rang yesterday ask referal letter sent psycholigist managed find spoke seems nice anyhow know dr said go psycharitrist dr said psycthearapist left message dr secatary ask whether doc think must psycharitrist first anyhow rand home today brovanswered think worried worrying he worrying etc top thinking dr think psycharitrist first bad sign psychologist first worrying helpsmilie recently wondered really anxious got ocd type 0 although feeling totally control body lessened always little soppose always worry finally sorry keep asking advice really giving much learn hopefully much help lot people forum thanks ali,"['OCD', 'hope']",0,0,0,0,0,0.0,[],"['ocd', 'hope']",,,0,0
hello people kind caring know coming tranquilliser last 10 half month 40 mg valium daily 12 mg seem move good achievement know hard especially early day caramoole fab seem confidence go 10mg therapist break early may seems think pill felt confident approach cbt knowledge prescribed medication despite information given fore mentioned kind person gave discussed verbally feel scared without even small amount pill know ingrained prefer say dependency addiction advice friend best wish phil,"['Medication', 'Addiction']",0,0,0,0,0,0.0,[],"['addiction', 'medication']",,,0,0
hello michael 13 year young england made introduction story far read started 2008 year 5 school young energetic loved outdoors started act funny parent noticed strange behavior thought nothing hand started get raw like would burnt asked hand looked like told washing hand took doctor suggested go house deal kind problem long wait concluded anxiety obviously age understand started stop going much friend motivation month earlier given support going tough time lost confidence socialization ability going affect later life two year later moved new school biggest problem started moving really afraid new school would pupil people never seen fine settled made new gang friend everything going good struck new problem caused started think school seriously dirty germ everywhere went came home school one day instead sitting went took shower chucked school clothes washing basket started stop touching stuff touched school uniform happened door handle etc started finish homework write sanction given parent noticed strange behavior went back mental house another diagnosis decided needed start something called cognitive therapy basically touch everything would choose xbox etc school clothes done week became much taken back time said would put social building would ass behavior done activity etc see brain worked creative could find anything apart anxiety already started stay house almost day never went even family decided depression put medication still day medication felt really effect condition deteriorating one year returned house found mystery illness autism spectrum disorder clue meant sound good started ritual communication problem eye contact progressively getting worse worse one year line present day never worse started washing hand 50 time day difficulty sleeping last time went friend almost year ago lost relationship father used play football go mountain biking pretty much everything together even speak brother mother two care thank ton think much hope left think late put end considered suicide option easy way family considered sending mental hospital cope anymore wait lucky edited april 25 2013 michaelocd,"['Thought', 'depression', 'Rituals', 'hope', 'OCD', 'anxiety', 'anxiety', 'Medication', 'washing hands', 'behavior']",1,1,1,1,1,1.0,"['washing', 'ritual', 'thought', 'hand']","['rituals', 'ocd', 'washing', 'medication', 'behavior', 'depression', 'washing hands', 'thought', 'anxiety', 'hope', 'ritual', 'hand']",1.0,,1,1
came look thread see could help,[],0,0,0,0,0,0.0,[],[],,,0,0
thanks everybody hope good,['hope'],0,0,0,0,0,0.0,[],['hope'],,,0,0
still getting day long every day normal tired drained life back b gone time change med year ocd really come age 35 every story read always say younger even know 15 month ago x,['OCD'],0,0,1,0,0,1.0,[],['ocd'],,,0,0
lucinda ellery team dedicated staff providing specialist hair loss solution hair extension london since 1985 new luxurious custom designed studio featured many hair magazine http lucinda one sponsor saturday evening charity benefit also presented attendee 15 discount voucher redeemable salon couple voucher left valid end feb 2005 anybody interested please let know,"['hair loss', 'interest']",1,1,1,1,1,0.0,[],"['hair loss', 'interest']",,,1,1
working within production company wish make series short educational film different mental health problem young people covering area depression anorexia nervosa bipolarity anxiety panic attack phobia bulimia addiction psychosis ocd film available online allowing universal access shown bbc2 scotland educational slot possibly broadcast radio designed offer support guidance teenager worried sibling parent friend looking 16 22 year old would willing talk openly camera experience living mental health condition like happens feel help get filming informal interview take place glasgow warm safe studio take approx hour time total although worry would expected talk length time contact wish particiapte know information,"['loss of appetite', 'depression', 'anorexia', 'anxiety', 'anxiety', 'Addiction', 'OCD']",1,1,1,1,1,1.0,[],"['addiction', 'ocd', 'anxiety', 'depression', 'loss of appetite', 'anorexia']",,1.0,1,1
hi new really wanted know sort treatment people gotten help ocd doctor 3rd time finally taken seriously referred scared fob pill try section ocd sound really bad currently taking fluoxetine seem helping help appreciated,"['Treatment', 'OCD']",0,0,0,0,0,0.0,[],"['ocd', 'treatment']",,,0,0
hi glad found site try keep short life colourful anyway pure violent n sexual thought based around child daughter fear n control issue always seem stick theme change family member get thought tried tested everything year med therapy diet exercise supplement hypnotherapy etc etc never cbt starting cbt v soon offered 20sessions psychological service threw gp longer med n med 7years finally come clean 10 week v well still unsettling time nervous come long long story drs request really determined person battled tirelessly keep well daily basis look back journey could cry river pure hell suffered never relief one point 4years anyway cry think happened fast forward year amaxing daughter road recovery long history anxiety depression panic attack pnd agrophobia ocd wow love abbreviation lol pmt never given making full recovery setting free ocd aware prisioner mind never run away like chain wrapped around whole body gradually lock untightening one day free lock open fly wing hold key anyway saying hope cbt brain chemistry change 16yrs faulty brain wiring med worked brain faulty much live great person ocd robbed 16yrs life want 16yrs back know impossible totally accepted condition 2yrs ago want b free would love advice especially interested talking long term sufferer like thanks reading kellyxxxx,"['site', 'Thought', 'fear', 'anxiety', 'anxiety', 'depression', 'hope', 'interest', 'talking', 'OCD']",1,1,0,0,0,0.0,"['violent', 'theme', 'thought']","['ocd', 'violent', 'fear', 'talking', 'interest', 'depression', 'site', 'thought', 'anxiety', 'hope', 'theme']",,1.0,1,0
hi 17 year old suffered anxiety long time constantly worried everything anything eg someone breaking house travelling abroad sometimes anxiety get much end breaking meant past struggled sleep got upset sixth form well feel need thing done particular way get upset thing normal routine also horrible thought member family dying need usually go sleep make detailed plan would situation something struggle avoid despite fact really upset really talked anyone however suggested quite ago maybe talk college counseller make anxious one teacher college close feel talk go stage walk past classroom everyday order make feel le worried everything even though actually speaking got distressed find hard talk people find snappy grumpy time think pulling away friend really know would appreciate suggestion thank,"['Thought', 'anxiety', 'anxiety']",0,0,0,0,0,0.0,"['thought', 'distressed']","['anxiety', 'thought', 'distressed']",,,0,0
sooo ocd shake feeling last night reading book sexual abuse good book girl went threw hell dad based true story skipped page afraid get tingle much put book away sleep started thinking enjoy reading way get instead porn panick ignored thought said ocd realized wetness started wondering wet horny normal goo vagina sorry laid bed felt wanted masterbate afraid meant book made horny went bed woke morning felt really weird unsure wetdream horny book woke middle night wanting masterbate cuz scared help feel like monster,"['joy', 'Thought', 'OCD']",1,1,1,1,1,1.0,"['thought', 'abuse']","['ocd', 'abuse', 'joy', 'thought']",,,1,1
hey almost 18 going holiday talk leave bring teddy thought would get panic away make aswell feel bit silly sound like another effect ocd,"['Thought', 'OCD']",0,0,0,0,0,0.0,['thought'],"['ocd', 'thought']",,,0,0
