post,prefLabel,postAnnotations,mergedAnnotations,enriched-ontology-obsession,enriched-ontology-compulsion,obsession-expert,Compulsion-expert,Explanation
"hi guys....ive been feeling reasonably good over the last couple of weeks,dealing with everything quite well...i recently went on holiday where ocd came back to me ...i started to get these horrible irrational thaughts back into my mind..these made me excessively paranoid....the thoughts varied from mild to incredibly stessfull....i am crying while i am writing this because im feeling so low once again.....
now the problem i slightly different .... when i have started to do something,free of thoughts and then a minuite later a thaught comes in to my head,i try to ignore it and carry on doing what i was doing. later on i think how could i carry on what kind of person am i...if i knew i was having a bad thought then why an earth did i carry on doing what i was doing..i then start thinking of myself as a horrible sick person...i hate my self...today things have just about hit the highest point and i was getting suicide thoughts...i just cannot cope anymore...i think what would others think of me,,,what will gods think off me... i hate thiss guys..please can u give me some advice ....... if i was a bad person i would not feel so terrible about it would i ?? its so hard to beat this problem....my mind then starts telling me yes your a bad person ect.... i hate it.. does any1 esle have the same problem???","['OCD', 'writing', ‘Thought’, ‘irrational thoughts’]","[‘horrible thoughts’, ‘excessive', ‘irrational']","['writing', 'Thought', 'excessive', 'irrational', 'OCD']",1.0,1.0,1,0,
"Hey everyone, ive been suffering with ocd for about 4 years....
Theres about 3 days left until i have to go back to school after my holiday break
I get really nervous around school time-theres a couple rituals that can take me hours to complete. During the break my rituals and anxiety level was lower..but right now im really scared about how my rituals will unfold once I go back? I'm scared of them increasing and my life becoming even harder then it is already..
Right now i can barely keep my head up becuz im so down on myself and sad
If any one has encountered this situation and knows how to deal with your rituals please respond....and thanks","['OCD', 'anxiety', 'anxiety', 'Rituals']",[],"['Rituals', 'anxiety', 'OCD']",,1.0,0,1,a couple rituals that can take me hours to complete.
"I thought I was doing better but it lasted only 3 days. I know you all get sick of me moaning and negativity but I have no one else to talk to who will understand. This constant rumination has been going on for months, different theme before that but its not like these doubt werent there still and doing stupid Erp forcing myself to feel and cry every day only gets me 3 days of peacw what is the point?
To be quite honest I have had thsee doubts right from the start of my relationship. At this point I feel like it's not even ocd- surely if anyone else was unhappy with their partner for the whole of their relationship bar a few months feeling ok, they would just go? The only thing that keeps me going is the fear of never seeing him again. But my last relationship was just the same and when we broke up I mises him terribly but it was wrong so maybe it wasn't ocd. So this isneither I suppose.
I have to make myself leave but I can't do it when he is so kind and sweet. I hate the idea of hurting him or losing him but if that fear is all I have its not enough. I'm just using a lovely man to stop myself being alone and it's unfair to him.
Everyone else who has ocd about their relationship at least started off in love, I never had that with anyone except someone who never cared about me so I didn't have to worry about hurting him. Even him I would get these same worries when he was nice to me. I just don't know any more","['Thought', 'fear', 'OCD']","['rumination', 'theme']","['rumination', 'fear', 'Thought', 'theme', 'OCD']",1.0,,1,0,"This constant rumination has been going on for months, different theme before that but its not like these doubt werent there still and doing stupid/ the fear of never seeing him again."
"Okay, so after months of feeling much better, reducing my meds and basically almost curing myself of contamination ocd, this thing has decided to manifest itself in another way...just to wreak my head more and more. After reading about it, it seems to be described as pure O but I'm not sure. The mental rumination part is there anyway!
What happens is, I may be in work or something and be in a really bad mood (I tend to have my angry moments) and someone might tick me off a bit. While knowing that I have done nothing wrong I will start to think """"""""Oh god, could it have been possible that I hit that person or kicked them""""""""....basically hurt them in some way! I know I haven't and I tell myself not to think about it BUT......then the 'ocd' kicks in and not only convinces me that I have done it, but that I have actually done much worse! These thoughts are silly, I know, because I know I wouldn't do these things but why does this thing always take the form of violent actions?
Am I completely off the wall or are these symptoms common to pure O?","['Thought', 'symptom', 'OCD']",['rumination'],"['symptom', 'rumination', 'Thought', 'OCD']",1.0,,1,0,it seems to be described as pure O 
"Hey all,
I've been doing well the past week or so with the pocd theme I had for about 3-4 months, I was actually able to live, rather than just achingly get through the day as fast as possible. But in that time I noticed I was getting what some might call Harm OCD, in that I had horrible thoughts of lashing out at people for no reason which wasn't helped when I had a nightmare the other day of me killing my dad because he was trying to kill me. Sorry I know that makes me sound like a bit of a psycho.
Anyway it's now back to the same pocd theme and I've got into the same habit of just sitting, googling for answers, wasting most of the day in a bit of slump it's like, bloody hell, is there ever any peace from this? If it's not one theme occupying most of my day it's another and I'm just so tired, physically and mentally. Is there anyone available for PM I can talk to ?","['Thought', 'wasting', 'OCD']","[‘theme’, ‘horrible thoughts’]","['wasting', 'Thought', 'theme', 'OCD']",1.0,,1,0, I had horrible thoughts of lashing out at people for no reason which wasn't helped when I had a nightmare the other day of me killing
"The past week ive had little anxiety around my thoughts the past week, which surprisingly still made me feel pretty horrible - felt like i was just accepting the thoughts, but i slowly came round and realised it was just me habituating to the thoughts. I just had a little spike though where I remembered myself talking to this guy about something and it made me anxious and i dont even know why! Dohhh now I feel like im back in the anxiety loop rather than the habituating process","['talking', 'process', 'anxiety', 'anxiety', 'Thought']",['spike'],"['talking', 'anxiety', 'process', 'Thought', 'spike']",1.0,,1,0,ive had little anxiety around my thoughts 
"I have had several backdoor spikes lately and I'm wondering if this is one. I certainly hope so as it has me extremely scared. I'm aware that this might be assurance seeking but right now I just need advice and support. It's making me feel depressed and even suicidal.
I had an episode recently where an intrusiveee thought entered my head in a shopping queue and I got absolutely no physical anxiety. Instead I felt like maybe I was enjoying the intrusiveee thought which worried me greatly as there was no anxiety to prove the thoughts were unwanted. I felt like I needed to just get away from that situation as quickly as possible and to my shame I became kind of pushy with the shop assistant in order to get served quicker and get away as quickly as I could.
Now all I can think about is that I had no anxiety but perhaps felt like I was starting to enjoy the thought or become excited by it and therefore I even contemplated killing myself as a sure fire way of not feeling that way again. I have had a few ITs without anxiety before but this was by far the most disturbing.
Has anyone else been in the same situation? What did you do? How can you make this stop happening? I hate this and just want it to stop. It makes me feel so tainted.","['hope', 'Suicidal', 'hopping', 'shame', 'joy', 'Thought', 'anxiety', 'anxiety']","['intrusive thought', 'spike']","['anxiety', 'hope', 'hopping', 'Thought', 'joy', 'intrusive thought', 'spike', 'shame', 'Suicidal']",1.0,,1,0,I have had several backdoor spikes lately and I'm wondering if this is one. I certainly hope so as it has me extremely scared. 
"Could anyone offer any advice or previous experience with a 'backdoor spike'? My anxiety isnt really an issue at the moment, probably because of the meds. But now I just dont really know how to feel about it all.
Any help with this would be great.
Thanks","['anxiety', 'anxiety']",['spike'],"['anxiety', 'spike']",1.0,,0,0,
"Evening forum ,.... wow what a bad day iv had from POCD to HOCD all in one day
It started on the bus this morning i got on the bus to college i sat down and there was a newspaper so i thought i would have a little read anyway there was this article about this group i holland who have been catching these pedos online or something ... anyway that was it a HUGE spike then all the thoughts , questions and ocd came ... anyway that POCD only lasted about 1 and half hour as i dont really get it .. but then because i had such a bad spike that triggerd my HOCD off and it was horrendous ... just felt sooo gay alll day thoughts .. and all the horrid normal s*@t that OCD does fake attraction .. the lot today it was just horrible .. :'( but my OCD only seems to be bad when im at college or on college days ... when im not at a college its fine just moderate to low but on college days its high as a kite","['Thought', 'OCD']",['spike'],"['Thought', 'spike', 'OCD']",1.0,,1,0, iv had from POCD to HOCD all in one day
"so my house mate has a cold sore, which she keeps touching and then touching things in the house and its just sent me off and I can't stop washing my hands and it feels like everything is dirty and I can't clean it and im not clean and im panicking a little bit 
vi",['washing hands'],[],['washing hands'],,1.0,0,1,
"I have not formally been diagnosed as having OCD, but I wanted to ask if any of the ones suffering from the one where you ruminate and ruminate about what people have said to you and just dwell on it?
Even thinking back a few years ago, I dug out comments made by someone in my family and just went over and over again in my head. This thought sometimes pops up in my head but I finally got over it.
Only about 2 months ago I had this trigger and I went further back in my life to a bunch of people who made comments to me, to my knowledge thet were wrong and lying calling me names and judging me, and I can't seem to shake that maybe they were right.
So in essense, how far back does the rumination OCD go, where you think about stuff over and over again **hoping** to find a one line answer and it goes away?
Weird thing is I was ok this morning, but 30-40 minutes later I was in a pretty bad state, just mentally drained.","['Thought', 'OCD']",['rumination'],"['rumination', 'Thought', 'OCD']",1.0,,1,0,uminate and ruminate about what people have said to you and just dwell on it
"I have been having a bad day, I think only some big huge positive life changes will ever be able to change all of this. Until then (if ever) I feel things won't change.
I have been trying to contain rumination to a small time period- 'worry time'. But sometimes it is just impossible, what's the point in waiting for worry time and then making yourself stop when you don't like yourself all of the time? Which is worse? Depression and self hate when not ruminating or ruminating to make yourself feel better for a while. Its either not ruminate ands accept my actions and therefore despise myself and be depressed OR ruminate.
I have spent a large proportion of today ruminating about calming signals in dogs. As my dog showed them and submissive behaviour when you spoke to her, walked up to her or stroked her, I feel that she must have always been uncomfortable- at the very least. What kind of life was that for her? I have spend ages trying to convince myself that this is a part of normal dog body language, like a stranger smiling at another stranger. But I don't believe it.
I don't think I will ever feel differently about my affect on my dog. My old topics of rumination e.g. my ex boyfriend, I now realise don't matter (only because I have a new boyfriend) but I still feel that the topics are truthful and what happened was real.
I am mostly here to rant, I have had so much support from everyone on the forum and I know there is little more that anyone can say to me. Not that I think anyone will write anything to intentionally hurt me (I know that you guys are so nice and wouldn't want to make my situation worse), but please don't unintentionally write anything that you think could make me worse as I can't take much more of this.
I am having counselling and on medication. I spoke to the Dr and told him that my change of meds (about 3 months ago) don't seem to have made a difference. He basically said that the medication might not and I might have to, in his words, 'face the music'. Hmm, sensitive.
I wish I could swap lives with a 'normal' person because I don't want to face the days like this. Some days are do-able (some impossible) but when I am able to get on with things, it is still always there lingering in the air","['depression', 'stroke', 'anger', 'Medication']",['rumination'],"['rumination', 'stroke', 'depression', 'anger', 'Medication']",1.0,,0,0,
"Hi all,
I'm not sure why I'm doing this because my head is so messy I don't know if I can write anything that makes sense!
I've had a really bad day - I've been having quite a few recently. It's been a stressful time lately and my OCD is having a free-for-all. A week or so ago I had a worry about being in contact with some blood on some paperwork at work and possibly catching something (i.e. HIV). I don't care about myself getting ill - I'm scared because I know this thought is going to make it harder for me to be with my little nieces because I worry about hurting them by accident anyway. My brain seems to be trying to come up with new and more horrible ways that I could be a danger to them!
I never thought I would worry about HIV because I felt I knew the facts about how it can be caught. I made the mistake of looking on the internet for reassurance and, of course, I found things to make me doubt what I thought I knew. Now the doubts are crowding in: maybe the blood wasn't actually dry and maybe I transferred it to myself via my nose or eyes or little cuts on my fingers. I keep getting variations on this same theme. I've sought reassurance from my GP and today form the occupational health department at work. Trouble is, every time a new way I might have transferred it to myself occurs to me, I want to seek reassurance all over again!
Today I saw some more blood on some paperwork and the anxiety got out of control. I get this sudden rush of warm, tingling all over my body. I know this is adrenaline being released but as soon as that happens any hope of keeping things under control goes out the window. I end up shaking and crying (and making a fool of myself!). I can usually cope with the thoughts but when I get this sudden physical reaction it gets away form me.
I'm very worried about Sunday - when I'll next see my niece. I'm more worried about the anxiety and not being able to cope with it than I am about actually passing any illnesses on to her! If I worry, there won't be any way to check that she's okay, and this seems like an impossible situation to be in. I know I've only got myself to blame for letting it get this bad, because I've always sought reassurance from my sister that everything's okay, but of course it's not going to work in this case because she won't know if I've passed anything on to my niece.
When I read this back I can see how much it looks like OCD (rather than any real problem) but my mind won't believe it's nothing to be worried about.
I'm so frustrated with myself because I've had OCD for a long time... I should be able to see it for what it is and deal with this by now! But being cross with myself isn't helping. Things seem to have got a lot worse since my Grandma died and I developed a couple of OCD thoughts that I might have caused it. I have pretty much got on top of those, but I'm missing her a lot because she really made me feel that I was loved. No one else in my family shows this in the same way. Aghh... just feeling sorry for myself now!
I didn't mean to write this much. I just need to feel I'm not on my own with this.
Bec.","['anger', 'Doubt Thought', 'hope', 'shaking', 'anxiety', 'anxiety', 'OCD', 'Thought']",['theme'],"['shaking', 'anxiety', 'OCD', 'theme', 'anger', 'Thought', 'Doubt Thought', 'hope']",1.0,,1,0,". I'm more worried about the anxiety and not being able to cope with it than I am about actually passing any illnesses on to her! If I worry, "
"I just feel like I don't know what to do anymore. I struggle so much with bible verses that seem to suggest a limit to God's mercy, and with the verses about dividing people up, and I don't see what I'm supposed to do with all the worry I carry.
I feel like I don't know what I think about God anymore, because I am so afraid. I don't seem to feel the peace that other people go on about, and my attempts at reading the bible usually end up with me in tears. No matter how many times other christians tell me that the overriding theme of the bible is God's love and redemption, I still get incredibly upset by the verses that talk about judgement or some of the parables that talk about people failing or choosing the wrong path or whatever.
I seem to have an underlying feeling that God is good and loving, such as when I listen to worship music, hear the footprints story, or see love in others (and most of all my family), but I struggle with going to church and reading the bible, and feel that even when I'm happy I have this deep-seated worry just waiting to re-surface.
People keep telling me that I need to have faith and trust in God, but I can't seem to do that, and I don't know if that's because of the way my OCD affects my relationship with Him. I don't understand why I feel like this, why I react to church the way I do, and why the bible seems so harsh to me but not to others. I have a naturally enquiring mind and question things all of the time, which I think is healthy and good for having a meaningful relationship with God, but then I worry that I question things and also about the fact that I'm not satisfied with the answers I get. Each time I have a panic attack I get myself in such a state and have the thought that I've been forsaken in some way. Then, the very fact I've thought that makes me realise I'm doubting God's love and goodness and then I worry about what I think of God.
I worry that I'm not saved, and that very fact makes me worry even more that I'm not (as it's like I'm not trusting). Thus it is a vicious cycle that I can't seem to break out of.
I feel like I can't think properly and little things feel like big decisions, such as today I went to a new church and decided before I went in that I wouldn't take communion, (partly just because I'm used to my other church) and then after it had finished I felt like I had made a choice not to 'eat at the feast' or accept the invitation to the table at God's kingdom or whatever, and that I'd separated myself in some way.
I had a panic attack in the middle of church and ended up in tears! (Good first impression...)
Is this part of my OCD?
I feel really in the depths of despair at the moment - I can't concentrate on anything else. My mum and Dad have been super supportive but just have no more words for me. They just keep saying that God loves me and I don't need to fear, but that's not what I feel inside and I can't seem to trust what they tell me.
Any advice or support would be so appreciated. I know that this is so specific, and hope that people who aren't christians can still sympathise with how OCD affects things like this.
Everything in my mind seems to go at a 1000 miles an hour, and when I feel like my thoughts and actions have eternal consequences, the anxiety just seems to spin out of control. Have any other Christians out there been through anything like this, or known anyone who has? I need some hope that I can get through this and trust God (and be happy again!)
Please help
xxxx","['despair', 'fear', 'anxiety', 'anxiety', 'hope', 'OCD', 'Thought']",['theme'],"['anxiety', 'OCD', 'despair', 'fear', 'Thought', 'theme', 'hope']",1.0,,1,0,
Ive had lots of spikes today.ive re read my ocd relapse stuff and done what i should but i am just at the end of my rope now and feel like i camt take anymore.i have made a fool of myself at work by seeking reassurance and i have binged on chocolate. I also have non ocd worries eg.money.i need to put on a brave face for my sons school play tonight but i just want to hide away and cry.,['OCD'],['spike'],"['spike', 'OCD']",1.0,,0,0,
"Im really scared that if i use this forum that i may have written something wrong, i have to keep going back over the stuff i have already written, its the same if i read a book or do any sort of writing. I cant do anything once, if i have a bad thought i have to undo everything i have just done and start again, washing my hands to empty my mind of the thoughts and start again, it drives me crazy.
Ive not had a good day today, doubting that I have OCD, i have not been diagnosed but deep down know i do, on i bad day like today, i think im just horrible and not like anyone else. I look at other people and so wish to be like them.
Will i ever get over it, i just want to be happy.
Summer","['writing', 'washing hands', 'OCD', 'Thought']",[],"['writing', 'Thought', 'OCD', 'washing hands']",,1.0,0,1,
"Ok I have posted so many times and all of it is asking weather people can relate.
I keep getting stuck on one part, and I don't know how to not ask for reassurance. 
Is it normal to feel super strong impulses all of a sudden, and almost feel like a different person? Then panic when your normal super careful anxious self comes back?
For around 7 years I have been battling with this current OCD theme.
It will not leave me alone and it wasn't happy until it destroyed me and left me in a constant state of rumination, spikes, depression and hopeless.
I feel I need to address it, If i don't...the voice says """"""""don't you forget what you did"""""""" """"""""you don't deserve to move on""""""""
Now if I believed how I felt in that moment was a normal manifestation of OCD maybe I could tell it to do one! But I just can't accept it.
I'm tired of upsetting family and annoying people asking the same things.
My brain is broke.
My heart is broke.
But the guilt in my stomach is eating me up.
I want to go back to life before this...I was unhappy but not THIS unhappy. Things at least fizzled. This is awful.
I feel like I screwed up my life in a matter of seconds so I am now 'ruined'
Can impulses and urges and OCD in general make you feel like you are a monster and that you go numb inside...usually I'm anxious but for those few seconds I felt numb to it and as I've said before frozen as though the impulse was so strong...but I didn't want to act.
I am afraid I'm a bad person for letting any of this happen.
I'm tired of it. I miss life before this... although before this I was plagued with other forms of OCD , low self esteem and eating phobias etc etc... All bad...but a piece of cake compared to life now.
I want to hear other people with their experience of these weird false (because it's against my will) feelings, urges and impulses, frozen moments, feeling like they aren't themselves, confusion as to how they got that way.
I'm so tired out. I'm praying someone can be there to help me overcome this...i see no light at the end of the tunnel...I feel like it's gonna last forever.
The question is 
Why did this happen?
Why did I feel odd, and these urges and impulses felt real..
Why didn't I act in my normal way (super careful, avoidant)
Why did I listen to ocds ideas of acting? 
Am I a monster?
Why was I so relaxed? Does this mean I am evil?","['depression', 'hope', 'guilt', 'confusion', 'confusion', 'urge', 'OCD']","['rumination', 'spike', 'theme']","['rumination', 'urge', 'OCD', 'depression', 'confusion', 'spike', 'theme', 'hope', 'guilt']",1.0,,1,0,
"Has anyone else had severe suicidal thoughts along with OCD/POCD?  My family is concerned to the point where I'm almost on a watch because despite everything I've read and try and believe about my OCD, its just gotten so overwhelming recently.  Can an anxiety spike cause this?  I feel like I'm one really bad day away from doing something permanently stupid and have been compulsively looking up the topic and even tested a few times.  Can medication also cause this?  Just feeling so hopeless. ","['Suicidal', 'Thought', 'anxiety', 'anxiety', 'Medication', 'hope', 'OCD', 'Suicidal thoughts']",['spike'],"['Suicidal', 'Suicidal thoughts', 'anxiety', 'OCD', 'Thought', 'spike', 'Medication', 'hope']",1.0,,1,0,
"I get confused sometimes with my OCD because people usually complain about have the same few bad thoughts continually repeating themselves. Mine seems different and although like them I have a huge volume of thoughts that distress me they all seem to be of different themes. It is almost like a voice in me head chastises people either when looking at photographs of people, listening to news or speaking face to face with someone. There is some nasty sarcastic comment about the way they look, their finances, their intelligence or problems they may face in their lives. Or I might picture something nasty happenign to them violently or sexually. I might look at someone poor wearing nice clothes and think something like """"""""I bet thats the only nice piece of clothing you can afford"""""""" or somethign ele nasty that seems to spring up in my mind. I might be on the phone having a sensitive conversation and think """"""""you're so boring"""""""" or """"""""I wish you would die"""""""" or something. I could be watching sport on tv and suddenly get an image of the player beign abused or them beign naked for no obvious reason. Or a thought or an action from years ago that suddenly makes me feel guilty. I have had my CBT, but I still am not totally sure if there a lots of people with OCD like me (i.e hundreds of differntbad thoughts at differnt times).
In addition, do people find that are constantly analysing their thoughts? Your stream of conciousness is full of thoguths and do you find you often think about them and """"""""why did i think that"""""""" """"""""is it okay to think that"""""""" """"""""does everyone think about their thoughts like i am thinking here""""""""? I find the analysis of the thoughts is very anxiety provoking and I find it happens most when I wake up in the morning,s amke me feel nervous and anxious.
Can anyone give me any reassurance on these two points??","['guilt', 'anxiety', 'anxiety', 'OCD', 'Thought']",['theme'],"['anxiety', 'Thought', 'theme', 'OCD', 'guilt']",1.0,,1,0,
"Hey it's been a while since I last posted on these forums. But I need some advice as I haven't been feeling too good recently with my OCD. I used to have OCD about the fear of blood and HIV and I had CBT for that and was able to get it under control. But recently I have become plagued by horrible and distressing thoughts randomly entering my head, some of which are to do with past events from my childhood which upset me, recent things and stuff I feel guilty about, but some of it is imagining things that I may or may not do unless I think or behave in a certain way. To give an example of what I mean, late last year my mother took an overdose and tried to kill herself, me and my sister found her on the sofa with a note saying 'Sorry' luckily we rang an ambulance and they sorted her out, she is ok now and hasn't tried anything like it since, or before. She suffers from severe depression and psychosis. That incident might come into my head when I am watching a film or listening to some music and then I start to feel really anxious and often turn it off as I don't want to associate that thought with the said medium I am viewing. That is an example of the OCD when it is something that has happened. But at other times the same thing happens and I get a thought that I might hurt or harm my brother or sister (I love my brother and sister and would never hurt them - I would die for them) yet my OCD tries to trick me otherwise. So sometimes these distressing thoughts are real and sometimes they are about what ifs. I've got to the point where I haven't been to College for nearly 2 weeks because I feel so depressed and anxious. I had an assessment for CBT again last week but I got the impression I won't be seen for months, I know how to sort myself out for OCD things where there are rituals involved with CBT, but I can't control the thoughts that go through my head so I end up just shutting down and staying in bed feeling sorry for myself. I am currently taking 40mg of Prozac a day. I need some help and support from fellow sufferers, I don't want to have another Christmas ruined by OCD!","['feeling good', 'fear', 'guilt', 'depression', 'Rituals', 'Thought', 'OCD']",['distressing thought'],"['depression', 'fear', 'Thought', 'Rituals', 'distressing thought', 'feeling good', 'OCD', 'guilt']",1.0,1.0,1,1,
"this time of year for some reason the ocd grabs hold tighter, intrusivee sexuall thoughts about family members switch around
a month ago it was my sister,now my neicel
everything was fine when my partner said we are takeing my son swimming and my 15 year old neice would like to come,she is sweet kid but very deveoped physicly,
the onslaught of thoughts came flooding in,almost like scinarios that could hppen,i wasnt sure if it was me or ocd,or enjoying the thoughts or not,the distress however is huge
whats caught me out the last few spikes is wether im trying to organise with bad intent,it happened with my sister when i said she could crash out on the bed after a party and my brain said it was cos i wanted something to happen
this time i offerd to take my neice to get a costume,i told my partner she didnt need to come as its hard tpo get my 9 year old out,now my heads saying i offerd because i wanted to get her alone,so sick of the truth getting distorted ,does anyone else feel theyve planned something bad when of course they havnt but start to beleave it as it seems so real","['joy', 'rash', 'OCD', 'Thought']",['spike'],"['rash', 'joy', 'Thought', 'spike', 'OCD']",1.0,,1,0,
Ive just watched a vid on youtube its mark freeman talking about themes of ocd hes going through the themes then mentions banana ocd.Im like wow i didnt know that and as it goes i have a problem with bananas it happened since i came out of the first mental hospital i was in and its always boggled me.Theres times i see bananas i kinda think oh no or have to look away or feel uncomfortable if there in the same room as me.Its just like if theres photos of children around same thing i have to look away or feel uncomfortable.Weird about the banana though hehe,"['talking', 'OCD']",['theme'],"['talking', 'theme', 'OCD']",1.0,,0,0,
"I am having a struggle right now with something my family doesn't do- which is washing their hands. My mom will go to the bathroom and leave without washing her hands and it makes me feel very anxious.
I was getting the kids ready today to go to the park, had them all dressed and ready and my mom decides to start taking the trash and dirty laundry out of her bathroom, and I don't think she washed her hands after. She went over and picked my son up and held him for a bit and now I feel like I have to bathe all of them and change clothes. It feels like too much effort just to go to the park but I don't want to expose other kids. so staying home it is.
I just don't understand, isn't it basic that everyone at least wash after using the bathroom or handling trash? Aahhhh. I hate living here because of this.","['rash', 'bathroom', 'washing hands']",[],"['rash', 'bathroom', 'washing hands']",,1.0,1,0,
"Hi everyone,
I am a 49 year old woman who has had BDD (including skin picking and clinical depression) since I was 14 (and a half:) ) It's been a long, exhausting, weary journey.
Grew up in one of the former British colonies where there was no help, not even a name for what was going on. Been totally alone with all that craziness, the constant mirror checking, low self-esteem (read here non-existent positive regard for myself) ,self-harm (bleeding, scabby face), excessive makeup/hats/sunglasses, agoraphobia, delusional thinking, suicide idealisation. Lived in my own hellish fantasy land.
Left school with no qualifications and had no means of supporting myself when I walked out of a dead-end job in a shop. My birth father is British, so was able to apply for a British passport and a one way ticket to the UK, arriving here in London in my early 20's. Did menial work until I was in a position to start educating myself.
Am single, have no children and very little family to speak of. A spinster no less. I have had very few relationships and have never been in love. It's been very difficult having people too close, near my face, so it did make having a partner a tad difficult!! I feel this is directly down to having BDD to contend with.
One day when I was 28 years old I went into Waterstones (there used to be a branch in Earl's Court) and was looking through the books in the Psychology section. Came across 'The Broken Mirror' by Katherine A. Phillips. Started to leaf though it and realised this woman was speaking directly to me and about people like me. I went back to my studio flat and read it in one sitting. To say that book had an impact on me would be an understatement!
Everything then fell into place and made sense.
Will never not have BDD but it is now manageable. I was so worn down by all the carry-on, having reached rock bottom. After reading 'The Broken Mirror' started to do my own research and challenge myself. Could call it my own CBT treatment plan:) I may now come over as quirky with a few strange habits, but I blend in. It did not used to be the case. My life was a train wreck for decades and I sometimes wonder how I managed to get this far.
The reason I'm here is because of the direct consequences of BDD and the life choices made. Even though I have moved on and am now unrecognisable from that vulnerable young women I was, I spend a lot of my free time alone. I don't have a problem with my own company but it would be nice to sometimes have a connection with other people who have some understanding of the impact of having lived and still living with this mental illness.
Edited July 8, 2013 by CharlotteA","['depression', 'checking', 'bleeding', 'Treatment']",['excessive'],"['bleeding', 'depression', 'Treatment', 'checking', 'excessive']",,1.0,0,0,
"Hi - Im new to this site. I have become increasingly preoccupied with my hair over the past few years and its now got to the point where its wrecking my life. Ive always had very fine straight hair and have always kept it short because its unmanageable when longer. It looks bizarre all the time no matter what i do with it.I am constantly washing and restyling it - sometimes up to 5 times a day on a bad day but it never looks right. When its really bad I get panic attacks and end up ringing differnet hairdressers to try and get it made better. It looks Ok for a couple of days then the cycle starts again. Im spending money I cant afford on hairdressers and Im sure they think Im weird because I constantly ask when they are cutting it if its even. I have highlights and when my roots show through that panics me horrendoulsy - even though logically I know if you colour your hair you are always going to get roots. I know this all sounds really bizarre but its causing me immense distress. I check my hair in the mirror constantly, take pictures on my phone to try and see what it looks like to other people etc and it seems to be all i think about from morning til night. Im glad to go to sleep just to get a break from it. My mother is always quite critical of my hair - tells me its too short or the colour is wrong and I think that might be where it stems from. Anyway - Id love to hear from anyone who might have some similar concerns. Ive tried to talk to my doctor but he just doles out antidepressanst which dont seem to be working. I dont know whether its nconnected but I have other rituals that i do - before i go to bed I check the doors/windows are locked/ovens turned off several times or else I can't sleep. Thanks for reading this.","['site', 'Rituals']",[],"['site', 'Rituals']",,1.0,0,1,
"hey guys. 
Really struggeling atm. One of my biggest ocd-themes is about thinking something negativ about the apperance of those i love. (My mom and boyfriend espessially) and this is one of my biggest issues.
i just had the most horrible thoughts about my boyfriend, and its really getting at me. Just wanted to share, and maybe somebody has any god tips for dealing with this the best this morning.
also i am sick (mosqitobites, i have recently discovvered im alergic) so i am beaten both psyck-and fys atm. 
Any advice, talking to somebody is really appriciated right now
Edited July 26, 2018 by ocdishell","['Thought', 'talking', 'OCD']",['theme'],"['Thought', 'talking', 'theme', 'OCD']",1.0,,1,0,One of my biggest ocd-themes is about thinking something negativ about the apperance of those i love. (
"Hello people
Been a while and life was pretty good, I had put myself at about 95% cured and really should have done the hard work for the last 5% but of course, as I suspect most of us do we think...most is good enough!
Except I caught myself struggling again over the last few days with lots and lots of rumination about work ( in terms of terrible thoughts this is about a 5/10 and I have had worse issues with my OCD but I now put myself at about 80% recovered as my mind is constantly ruminating over how conversations with people are going to go). I'm trying to work out how these conversations are going to end and of course this is futile as my mind cannot physically cope or work out.
So I'm on recovery again, listening to the 4 steps again and its great to hear its been updated, I feel slightly better after listening to about 50 minutes and just need to crack on with recovery.
  Cheers
E","['Thought', 'OCD']",['rumination'],"['rumination', 'Thought', 'OCD']",1.0,,1,0,
"Hi Folks,
I have contamination OCD and believe I always will, but I have been in control of my OCD for 4 years now. Today it was my sisters turn to host Christmas, this is something I wouldn't have coped with before so I am pleased I went and spent a great day with my family.
My sister has a large dog and two cats, her maroon carpet looks black from pet hair and ground in dirt. The pets are allowed on the furniture and whilst we were there the cats jumped up onto the dining room table a few times. The cats jumped up and kept putting their bottoms in my face and sat licking their bottoms, and the dog sat on my foot a couple of times. Everyone else fusses the cats and stroked from the base of the cats tail (right next to their bottom holes) to the tips of their tales. I find it a bit revolting but coped well telling myself it is perfectly normal and that everyone else does it and its fine.
I made a point of not washing my hands after petting the animals and at one stage the dog licked my finger as I was eating so I just carried on eating. The toilet was grotty, there were lots of pubic hairs at the back of the seat, but I just sat down and got on with it! Later my auntie told my sister that the dog had fouled on the gravel at the front of the house, something I could have done without knowing, my sister said she would clean it up in the morning. I just made sure I didn't step in it on the way out and got in my car. I also took my gifts which were in a carrier bag on the floor and put it in the boot of my car.
Before my ERP 4 years ago I wouldn't have gone inside the house. If I did I would have taken something clean to sit on. I wouldn't have been able to put anything from inside the house into my car. I certainly wouldn't have eaten there. I couldn't accept Christmas gifts from my sister in the past because of what her house is like. So today was a big deal, I am glad its over, but at the same time I know I could do it again.
Happy Christmas folks.
FF x","['stroke', 'washing hands', 'toilet', 'OCD']",[],"['toilet', 'stroke', 'OCD', 'washing hands']",,1.0,0,1,
but now iam washing my hands alot again . i got over one type of dirty now iam worrying about something else . feels like iam going backwards again .,['washing hands'],[],['washing hands'],,1.0,0,1,
