post,prefLabel,obsession_first_checker,obsession_second_checker,obsession_third_checker,compulsion_first_checker,compulsion_second_checker,compulsion_third_checker,postAnnotations,mergedAnnotations,Compulsion exp,Obsession exp
I came on here to look at some threads and see if I could help.,[],0,0,0,0,0,0.0,[],[],,
"thanks everybody :a1_cheesygrin:
I hope you are all good",['hope'],0,0,0,0,0,0.0,[],['hope'],,
And I'm still getting them all day long every day is that normal ?im tired and drained and what my life back! Or should they b gone by now ? Is time to change my meds been on them a year! And does ocd really come on at my age of 35 ? Every story i read it's always says when there were younger they had it I didn't even know about this until 15 months ago!! X,['OCD'],0,0,1,0,0,1.0,[],['ocd'],,
"Lucinda Ellery and her team of dedicated staff have been providing specialist hair loss solutions and hair extensions in London since 1985 and their new luxurious custom designed studio has been featured in many hair magazines.
http://www.lucindaellery.com
Lucinda was one of our sponsors on Saturday evening at our charity benefit, she also presented each attendee with a 15% discount voucher redeemable at her salon.
I have a couple of vouchers left which are valid until the end of Feb 2005, if anybody is interested then please let me know.","['hair loss', 'interest']",1,1,1,1,1,0.0,[],"['hair loss', 'interest']",,
"We are working within a production company that wish to make a series of short educational films about different mental health problems for young people covering such areas as depression, anorexia nervosa, bipolarity, anxiety and panic attacks, phobias, bulimia, addiction, psychosis and OCD.
Each film will be available online allowing universal access and shown on BBC2 Scotland educational slots, and possibly broadcast on radio.
It is designed to offer support and guidance to teenagers who are worried about themselves, their siblings, their parents or friends. For this we are looking for 16 – 22 year olds who would be willing to talk openly on camera about their own experiences of living with a Mental Health condition; what it’s like, what happens, how you feel, what helps, and where you get it.
Filming these very informal interviews will take place in Glasgow in a warm, safe studio and it will take approx 2-3 hours of your time in total. Although, don't worry you wouldn't be expected to talk for that length of time!
Contact me if you wish to particiapte or know more information.","['loss of appetite', 'depression', 'anorexia', 'anxiety', 'anxiety', 'Addiction', 'OCD']",1,1,1,1,1,1.0,[],"['addiction', 'ocd', 'anxiety', 'depression', 'loss of appetite', 'anorexia']",,1
Hi Im new to this. Really just wanted to know what sort of treatment people have gotten to help with their ocd? Ive just been to the doctor for the 3rd time and finally been taken seriously and referred on. Im just scared they will fob me off again with more pills or try section me if my ocd sounds really bad? Currently taking fluoxetine but dont seem to be helping. Any help is appreciated,"['Treatment', 'OCD']",0,0,0,0,0,0.0,[],"['ocd', 'treatment']",,
"hi all, im so glad Ive found this site try to keep this short cause my life has been very colourful, anyway I have pure O all violent n sexual thoughts based around children and my daughter, and fears n control issues they always seem to stick too same theme but can change family members, can not get out of thought. Ive tried and tested everything over the years, meds, therapy, diet, exercise, supplements, hypnotherapy, etc etc but never cbt, im starting cbt v soon been offered 20sessions psychological services threw gp, im no longer on meds i was on n off meds for 7years, and have finally come off of them been clean for 10 weeks doing v well but still a unsettling time and am nervous not being on them, but had too come off of them long long story drs request and here I am, I am a really determined person who has battled tirelessly too keep well on a daily basis, if i look back on my journey i could cry a river over the pure hell i suffered i never had any relief at one point for 4years anyway i will cry if i think that happened to me, fast forward few years here i am i have a amaxing daughter and on the road too recovery, i have a long history of anxiety, depression, panic attacks, pnd, agrophobia and ocd,(wow i love the abbreviations no more for me lol) pmt, I have never given up in making a full recovery and setting myself free when u have ocd as you will all be aware your a prisioner of your own mind, u can never run away from yourself, its like I have a chain wrapped around my whole body and gradually the lock is untightening, one day i will be free and that lock will be open and I can fly my wings, only I hold the key, anyway what im saying is there hope for me with cbt??????? how can my brain chemistry change after 16yrs of faulty brain wiring, meds havent worked, why is my brain faulty??????? I have so much too live for Im a great person but ocd has robbed 16yrs of my life I want those 16yrs back now, i know thats impossible ive totally accepted my condition i did that 2yrs ago but I want to b free, would love your advice and im especially interested in talking to long term sufferers like myself
thanks for reading
kellyxxxx","['site', 'Thought', 'fear', 'anxiety', 'anxiety', 'depression', 'hope', 'interest', 'talking', 'OCD']",1,1,0,0,0,0.0,"['violent', 'theme', 'thought']","['ocd', 'violent', 'fear', 'talking', 'interest', 'depression', 'site', 'thought', 'anxiety', 'hope', 'theme']",,1
"Hi,
I am 17 years old and have suffered from anxiety for a long time and am constantly worried about just about everything and anything eg. someone breaking into my house, travelling abroad. Sometimes that this anxiety gets so much that I end up breaking down and has meant in the past that I have struggled to sleep and have got very upset at sixth form. As well as this I feel the need for things to be done in a particular way and get very upset when things are out of my normal routine.
I also have horrible thoughts about members of my family dying and the need to (usually just before I am about to go to sleep) make a detailed plan of what I would do in each situation. This is something that I struggle to avoid doing despite the fact that it really upsets me.
I haven't really talked to anyone about this before, however it has been suggested quite a while ago that I maybe should talk to the college counseller, but this just makes me more anxious! There is one teacher at college that I am very close to and feel that I can talk to, and I did go through a stage of having to walk past her classroom everyday in order to make me feel less worried about everything even though I wasn't actually speaking to her, I got very distressed if I didn't do this. I find it hard to talk to people because I find myself snappy and grumpy most of the time and I think that this is pulling me away from my friends.
I really don't know what to do and would appreciate any suggestions, thank you","['Thought', 'anxiety', 'anxiety']",0,0,0,0,0,0.0,"['thought', 'distressed']","['anxiety', 'thought', 'distressed']",,
"This is sooo OCD, but I CAN NOT SHAKE OFF THE FEELING.
Last night I was reading my book. It is about sexual abuse. It is a good book about a girl who went threw hell with her dad and is based on a true story. I skipped some pages as I was afraid to get a tingle down there and it just was too much.
I put the book away to sleep and then I started thinking, I enjoy reading this dont I? Its my way to get off instead of porn. I didnt panick and just ignored my thought and said OCD. I then realized a wetness down there and I started wondering if I was wet because I was horny or if it was normal goo from the vagina (sorry!).
I laid in bed and felt I wanted to masterbate, but I didnt as I was afraid that meant the book made me horny so I went to bed. When I woke up this morning I felt really weird. I am unsure if I had a wetdream (if I did it HAS to be because I was horny from the book??!)or if I woke up in the middle of the night wanting to masterbate but didnt cuz I was scared....
HELP
I feel like a monster","['joy', 'Thought', 'OCD']",1,1,1,1,1,1.0,"['thought', 'abuse']","['ocd', 'abuse', 'joy', 'thought']",,
Hey. Im almost 18 and i am going on holiday as i talk but as i was about to leave i had to bring my teddy because i thought if i didnt i would get into a panic when im away. Im make aswell so i feel a bit silly. Does this just sound like another effect of OCD?,"['Thought', 'OCD']",0,0,0,0,0,0.0,['thought'],"['ocd', 'thought']",,
"I’m looking for a case study of a man aged 18 to 28 who has suffered from OCD to do an interview for a weekly magazine. It would involve a chat on the phone and a photo-shoot and could read the article back before publication to make sure were happy with it. A fee is payable to you for your time too, although feel free to donate half of that to OCD-UK :a1_cheesygrin:
If any chaps are interested, please do give me a shout.","['interest', 'OCD']",0,0,0,0,0,0.0,[],"['interest', 'ocd']",,
"Hi, I am 30 years old and have had OCD most of my life. I have reached the point where I really need help because it is debilitating my life. My thoughts and rituals mostly seem to revolve around fears of death, illness loved ones dying and myself. A lot of this is at night before I go to sleep. 
Anything can trigger it such as not stopping my book on a page that is the same age as a relative as they could die. Not being able to look in the mirror before I go to bed in case that’s the last time I see myself. Not being able to turn off the lights at a time on my phone that matches a terrible event or someone’s age. Having to check everything in the house having to touch nearly everything I come across evenly on both sides a certain amount of times and doing it again if it’s slightly out of time or not even. There’s also a thing with lights and how I have to have a light on for a certain amou tof time. When I go swimming I can only swim certain lengths that are safe numbers and not to do with illness or death.
I could go on and on about everything I do there is so much but it’s realy taking over my life constantly. It doesn’t stop me doing my job or driving my car but it’s this constant anxiety I can’t rid. I have had counselling spoken to people for advice but people always shake it off and say how everyone is OCD and to just stop doing it but I can’t.
I wondered if anyone has similar anxiety to me and do similar things I’ve never read of anyone doing what I do and would love to feel I am not suffering alone.","['Thought', 'Rituals', 'fear', 'OCD', 'anxiety', 'anxiety']",1,1,0,0,0,0.0,"['ritual', 'thought']","['rituals', 'ocd', 'fear', 'thought', 'anxiety', 'ritual']",,
"Im going to an 18th party on friday. Im underage but my mates are talking about having a drink or two and im not sure what i'll do. Ive never drunk much before so if i did it would be one drink but would this be enough to mess with ocd? Cos i've never had much i dont know how its could effect me ocd wise but i have heard it can affect people so ive been thinking it over for a while and dont know whether i should just stay clear or just go and have fun and have a drink if i feel like it. Wot do you think?
Starlight","['talking', 'OCD']",0,0,0,0,0,0.0,[],"['talking', 'ocd']",,
"Hi, My name is Sophie.
I'm 18, female, English and have not been 'properly' diagnosed with OCD. Since I have never been fully diagnosed, besides my ADHD Dr writing """"""""OCD?"""""""" on my report, I have been in denial. I kinda knew I was a 'little OCD', I would joke about it, but its starting to really affect the quality of my life. Perhaps I am just realising to what extent it really affects my life?
I went to my GP weeks ago and they did nothing, going again on monday.
My symptoms are;
What I would call serious skin picking problem. On my legs, my bikini line, my sholders, my arms, my face & my chest. Its so upsetting for me, being an 18 year old girl with 'good skin', I feel like I'm ruining myself. This lowers my self esteem. I go through phases, hardly any skin picking then a huge binge. I feel as if my skin is oily, even if it isn't. This triggers picking. I have even given myself impetigo a few times. I'm so ashamed of my self-induced horrible skin!
Compulsive list writing, this has gotten better but still quite bad. Can spend hours doing this. At one point two years ago my bedroom almost had no floor space due to my ripping out papers because the writing on the list was not good enough. The letters all have to match, be beautiful, no spelling mistakes, which is insane since I am VERY dyslexic.
Organisation is akward for me, going back and forth from ADHD and OCD is tricky, meds help but I think sometimes they make my OCD worse. Things have to be colour coded, untampered with, kept in place, I have to think through where everything goes. Planning pen pots, desk organisation, folder binders.
Most importantly is fears. This affects me the most, Skin picking is second. This is why I am up at 2.50am in the morning writing on this forum. I get fears, illogical fears. It ebs and flows.
Aliens is one I have gotten more recently, not even sure what I am scared of about them (if they even exist?) but it makes it hard for me to sleep, I feel 'unsafe'.
I was in a minor car crash with my boyfriend, since then I have a fear of being in the car and headlights coming towards me.
Heights, stairs, ceiling caving in, somthing falling on me, falling through ceiling or down stairs...ect,ect.
I hate this so much, I just want to be happy again, I'm sick of being scared. I'm crying writing this, I didn't expect to get so emotional. I was always scared of stairs, falling and heights, however these new fears are ruining my life. Sometimes I can talk myself out of them but the feeling is so overwhelming its hard to take control.
What lowers my selfesteem more than anything is the feeling of going/being insane. Not seeming to have control of my actions, getting in my own way. I'm otherwise a very happy person, albeit a little tightly strung.
Edited February 5, 2011 by SophieS","['quality', 'shame', 'bedroom', 'rash', 'fall', 'OCD', 'writing', 'fear', 'symptom']",1,1,0,1,1,0.0,['upsetting'],"['ocd', 'symptom', 'fear', 'shame', 'quality', 'fall', 'writing', 'rash', 'bedroom', 'upsetting']",,
Hi guys i had my 1st ever appointment today and it went really well ! and the women is soo nice and understanding and she knows alot about OCD she also diagnosed me with ocd and she put me on the CBT waiting list and even better the CBT is with her witch im really happy about as she is really awesome and nice ! and she was so surprised that i knew so much about OCD already and i told her all about this forum and charity and how much it has helped me ! thanks guy the only way is UP !,"['surprise', 'OCD']",0,0,0,0,0,0.0,[],"['ocd', 'surprise']",,
"Hi
I have my first CBT session on Wednesday at 3pm. Happy and scared at same time. I will let you know how it goes.
gem x",[],1,1,1,0,0,0.0,[],[],,
"Hi everyone
Its been a while since ive been on the boards - what a great new look for the forum! I have had my 1st CBT session today which i have been waiting anxiously for for about 6 months. My therapist is lovely but i am worried about what sort of things he will help my confront- i have a big fear of physically harming people close to me who i love very much. He made a joke about having me sit with a big knife next to me while talking to him in the sessions and being around the people i am scared of harming do you think hes serious? I think i would have a nervous breakdown! I know its like exposure therapy but i am sooooo scared of getting worse and back to way i was last year. Do you guys who have had CBT think that you have to get worse before you get better? I have developed so many safety mechanisms around myself to cope with this illness which are all gonna get broken down - surely i will get worse? Anyways would appreciate any replys as i am panicking about the next one already!
Take care
Jemma x x x","['fear', 'talking', 'sms']",1,1,1,0,0,,[],"['talking', 'sms', 'fear']",,
"Hi guys had my very 1st cbt session today, it went really well and the therapist seems really helpful and nice. I felt very anxious going tbh but she put my mind at rest and hopefully i'll soon be on my way to getting better. I urge anyone reading this who is too anxious to seek help to try and bite the bullet and go to your gp. Dont leave it as long as i did to get help, the longer you leave things the deeper they become entrenched. The waiting list was terrible, exactly a year more or less, from asking for cbt to starting it but if i got this far without help just think what i can do with it, i'm no different from anyone else just lucky to be starting on the RIGHT treatment. Go and get the help your entitled to, RAI.","['hope', 'urge', 'Treatment']",1,1,1,0,0,0.0,[],"['hope', 'urge', 'treatment']",,
"I am newly diagnosed with pure o and have been seeing a hypnotheripyst while i wait for the NHS to get into gear. I have HOCD and as i have been reading about the 4 steps and have been taught the 4 steps by my hypnotheripst and have been making slow progress. Today i just had my first NHS counselling session for my OCD. We talk about my family, blah blah blah and then why do i fear i might be gay? I explain that its the ocd Step 1; Relabel. She tells me that i need to take responsibility for my thoughts and they are my thoughts so they must be in me. This totally freaked me out. As usual 4 thousand questions begin to run through my brain. She's right, It is in my brain? I must be hiding this? Am i supressing that i'm gay? What the **** Total contradiction is doing my head in.
Edited October 28, 2010 by Ashley
Edited Inappropriate language","['fear', 'Thought', 'OCD']",1,1,1,0,0,0.0,['thought'],"['ocd', 'thought', 'fear']",,
Plucked up the courage to go to the doctors yesterday. I went in sat down and basically cried! Lol got it out in the end and been referred for CBT in March. Does anyone know how this goes work wise are you entitled to time off? I work on my own on a Monday and this will particularly disrupt the business.,[],1,1,1,0,0,0.0,[],[],,
"Hi guys,
A few weeks ago I had an inital meeting for my OCD to check that I require CBT etc.
Today was my first meeting and just wanted to share with anyone that hasnt yet had theirs or is due to have their meeting.
I am very clear of my goals and how to get to them gradually.
Im not sure whether its CBT but I made a hierachry (spelling?) of my top goal down to what I am already doing.
This is where the serious work begins and tonight I did the 2.7 miles in 7 minutes, anxiety is still there. :dry:
What if thats too fast? What if what if
Edited September 15, 2009 by Guest","['OCD', 'anxiety', 'anxiety']",1,1,1,0,0,0.0,[],"['anxiety', 'ocd']",,
"So today was my first meeting with my new therapist. I was terrified but he was a nice person who was easy to talk to and had a very reassuring air about him. I think one of the first steps to dealing with a therapist is trust. I've seen 2 therapists before but I really have a good feeling that I will have long term improvements with this therapist. I'm still battling somewhat with my head this evening but today's positive outcome certainly has helped me.
Anyone ever been though EMDR?",[],0,0,0,1,1,0.0,[],[],,
"Hi Everyone,
This is my first post,
I’m going to my first consultation with a private counselor on Thursday. I have been added to the NHS waiting list about 2 weeks ago, at the same time I finally gave in and have started to take citalopram 10mg. It’s been very hard to accept what that I may actually have a neurological condition - but now I have seemed to have forced myself into accepting it. I have decided that 6 months is too long to wait on an NHS waiting list for CBT; something that I think is probably going to help me recover most effectively. So have taken the plunge and I am going to pay for these sessions privately and attack OCD on 2 fronts.
Obviously this is going to cost me fortune, so I am conscious that I want to get the most of my sessions. I was just looking for advice on how best to enter into these sessions in regards to what to say etc etc etc as I have never been to anything like this before.
In regards to my OCD now I know what it is (mainly to this website and all your great post's) I believe I have had it all of my life. When I think back to any point in my life when I have been truly unhappy it has been down to obsessive internal worrying over illness or horrid thoughts that have gone through my head. I have always managed to get over these, ring fence them and move on.
About 10 months ago I was in a job that I was under a lot of pressure in, working stupid hours and was probably unhappy for the first time in my life for a warranted reason. This brought on a lot of stress and I think this kicked off OCD (is this possible?). I Began to get obsessive thoughts about driving my car into another coming in the other direction, this distressed me to the point where I convinced myself I was suicidal - which quite frankly disgusted me!
Then came the OCD onslaught about suicide, convinced I had depression, convinced I was an alcoholic, self harm in particular regard to sharp knives, hurting others with sharp knives, horrendous vivid images of girls being harmed / mutilated, jumping in front of cars / trains and finally the icing on the cake gay fears OCD. This being what is really affecting me at the minute. The last 6-8 months has been a roller coaster from hell but somehow I am getting there and I’m still kicking :-)
As this is my first post, I would really appreciate a perspective around this. I love cooking it’s a passion and I’ve found it hard to do at points due the OCD around sharp knives. Even now I feel I am beating that strand of OCD, there is def an anxiety scar there. This is similar with the moving object OCD with the notion of me wanting to throw myself in front of things. I walk past moving cars every day and get the train to work, and love driving there is also an anxiety scar with all of these even though they are no longer as prevalent. The OCD about wanting to drive your car into on coming cars has left me not knowing if I will ever be able to drive again or at least an anxiety around it this truly worries and upsets me. Finally, the gay fears OCD that I’m currently going through. I find my mind constantly checking out other blokes even though I know his is ridiculous, but it bothers me to the point of despair and I fel its affecting my libido massively – very mixed up. I love going to the gym - lots of other naked men around obviously this makes this activity sometimes extremely stressful.
So there’s 3 passions that I had in my life a year ago; driving / motor bikes, Cooking and going to the gym and it seems these are the things the OCD has gone for. Is this a coincidence or is this what OCD does???????
Now considering all of the above I would really appreciate some advice on how to move forward with the session on Thursday. I am genuinely excited about seeing this fellow and learning how to manage/overcome my OCD and get on with my life
:-)
Hope to hear from you all
Kind Regards
Sparky","['site', 'Suicidal', 'disgust', 'depression', 'object', 'checking', 'despair', 'Activity', 'hope', 'fear', 'anxiety', 'anxiety', 'OCD', 'Thought']",1,1,0,0,0,0.0,"['distressed', 'image', 'obsessive', 'obsessive thought', 'thought', 'horrid thought']","['ocd', 'fear', 'activity', 'distressed', 'disgust', 'image', 'checking', 'obsessive', 'suicidal', 'depression', 'despair', 'site', 'thought', 'obsessive thought', 'anxiety', 'hope', 'horrid thought', 'object']",,
Therapy started on Thursday and I got to say seeing those thoughts written on a white board was VERY distressing. Is this a normal part of the treatment?,"['Thought', 'Treatment']",0,0,1,0,0,1.0,"['distressing', 'thought']","['distressing', 'thought', 'treatment']",,
"Morning everyone!
I FINALLY have my 1st session today at 11-30 with my 1st ever therapist, i am very nervous as when i went for my induction (3 months ago) i never had any OCD problems
I went initially cos i am suffering from anxiety and depression. I am now on meds and have all of these intrussive thoughts. I really hope she can handle me, and i am thinking how am i gonna drop this new problem on her.
Fingers crossed for me guys!","['OCD', 'anxiety', 'anxiety', 'depression', 'Thought', 'hope', 'drop']",0,0,0,0,0,0.0,"['thought', 'hand']","['ocd', 'depression', 'thought', 'anxiety', 'hope', 'hand', 'drop']",,
"Hi All,
So i went to the doctors this morning and told them i would like to be referred for CBT again, which they are going to do So just have to wait to hear from them. They have also increased my medication from 20mg of citalopram to 30mg, which im not happy about but if it helps then....
Kind of happy cause im going to get the help i need, but not so happy cause i really struggle talking to professionals in detail about my problems. But i need to get this sorted, i have been struggling for years and if i dont focus and put the work in then i cant really moan.","['Medication', 'talking']",0,0,1,0,0,1.0,[],"['talking', 'medication']",,
Feel **** today. I suffer with POCD and avoid reading and watching the news. In feb my OCD was really bad after hearing a local woman had stabbed het little girl to death! This week everyone has started talking about it again as the woman has gone to court this week. Rumor has it that the woman can't remember anything for the previous 2 months to this incident. I have a great fear of not being in control and doing something horrific. I think it scares me more coz it has happened so close to home. I have been doing really well with my OCD lately I've not been on my meds for a few months and I am scared I'm going to be really bad again.,"['talking', 'fear', 'OCD']",1,1,0,0,0,0.0,[],"['talking', 'ocd', 'fear']",,
".. And now back to normal!
I had a couple of good days.. I basically just said its all this stupid illness messing with my head, it's not a reflection of who I am, and oddly enough, I felt okay. I started feeling like the real me again.
Today though has been different. I'm trying to do what I did before but it just won't happen. I just feel like I'm some sort of sexual deviant who is living in denial again.
Urg. Onwards and upwards.
Hope everyone is well",['hope'],0,0,0,0,0,0.0,[],['hope'],,
"I have recently been reading the 4 steps and when I first started it I started to worry because whilst it teaches you to control and over come ocd and live a far more happier life I also got it into my head that we can only learn to control it and live with it and we can never be truly free... this thought plagued me for quite a time however yesterday something happened....
I was sitting outside in the sunshine and as usual my nasty little voice popped into my head and said """"""""you will never ever be free of this you will live with this forever"""""""" and in the next second another thought came into my head in exactly the same way the bad thoughts do and it said """"""""so what, you've already accepted this and your making changes to overcome it, it might always be there but so what"""""""". I just sat there I was so shocked, I have only ever had bad thoughts pop into my head, I have never had a good one pop in there.
I was and still am so happy, now I feel like there is the little bad ocd voice in my head, the little good encouraging voice and me, and whilst bad ocd voice is very strong, there is no way it can fight both good voice and me forever, the battle has truly begun and we know who is going to win now...
This might sound a little weird but I just had to share it, I have posted negative topics so it feels so nice to post a positive one.","['outside', 'shock', 'OCD', 'Thought']",0,0,1,0,0,0.0,"['nasty', 'thought']","['ocd', 'nasty', 'shock', 'thought', 'outside']",,
"It's been 2 months since I had thoughts about what if I punched my daughter, and I don't really feel any better. The thoughts for 2 months prior to these were about myself but then the anxiety threw at me one night a thought of what if I hurt my little girl. It has left me in turmoil and no matter what I do I still live with this fear that I will hurt her :-(
Every day is tough, the daytime isn't as bad as the evening, once teatime hits I am anxious and scared to be near her. My head has images of me punching her in the face and fear runs through my body as it feels like it will happen :-( That feeling that it will happen is leaving me in utter turmoil and the reason I am so scared. Thoughts alone are bad but that feeling like it might happen if I go near her is terrible. Is this common? does anyone else feel like this?
I love my daughter so very much, she is 8 and we are so close but the last 2 months have destroyed my relationship with her, I can't be as close to her, or laugh with her like we used to. I can't be alone with her, it really is having a huge impact on my life :-( I have 2 sons that are abit older and the thoughts aren't really about them, they've occasionally hit when near them but very rare.

I have tried to accept them, accept they are a spin off of my anxiety. I had a tough year last year battling anxiety and agoraphobia, I hadn't had OCD before November last year when it suddenly hit me. These last 4 months have been tough but the last 2 months have been the worst as they are about my little girl and I don't want anything bad to happen :-(
The acceptance doesn't help, I am at a loss what to do. I am having ERP/CBT and I have been doing exposure homeworks but we are working up to it slowly, obviously she can't flood me with this just yet as it's high up on my fear hierarchy.We are getting our way up the list though. I have a few things, I removed knives as I had a brief time where i feared sharp objects incase I hurt myself or the children so my psychologist is helping me bring those objects back into the house and making me learn more about my anxiety. It's helping but I am still tortured by this about my little girl every single day and I don't know what to do :-(
I know I have posted before but if anyone could offer me some advice or positive stories I would appreciate it. I am starting to worry the way I feel isn't normal and maybe I don't have OCD :-( I just want to enjoy my family again and be happy. I had a tough year last year after my brother hurt me and my family all took his side, I then developed high anxiety and agoraphobia, things got better and then i was struck down with OCD late last year. I was so happy with my own little family, my husband and our 3 wonderful children, they were all I had and now this OCD is taking my happy place away from me :-(","['joy', 'object', 'fear', 'OCD', 'Thought', 'anxiety', 'anxiety']",0,0,0,0,0,0.0,"['image', 'thought']","['ocd', 'fear', 'image', 'joy', 'thought', 'anxiety', 'object']",,
"I've had a relapse!!
I was doing so well, happiest I've ever been.. Until yesterday, I said to myself try not to come back to the forums for my own good, but the urge has become too much, so I'm here with this regrettable thread.
As some of said, which rings true, yes I do fear of getting in trouble and losing my way in life.
The more I dwell on things the worse it appears, I'm in a state again, I'm mentally exhausted.
I am on tablets and have taken part of in some CBT which have taken the edge off fears and I have resumed a happy period.
The situation is really biting at me and before anyone guesses yes! It's is a fear of getting in trouble.
I work in a well established retail environment, surround by all public.
I didn't actually make the mistake this time, but my best mate did!
We were on break in our uniform browsing the store, until a girl was controlling a trolley and nearly hit us, we both laughed as she passed, then he commented, which he thought was quiet, the thing he said was out of order and she looked back in a way that, yes she acknowledged us and what one of us said, now I'm fearing I will get the blame for it.
Bang fears back oh god please help grrr","['urge', 'regret', 'Thought', 'fear']",1,1,1,0,0,0.0,['thought'],"['regret', 'fear', 'thought', 'urge']",,
"Evening! Hope you are well! I have Pure O & battle thoughts that I might be gay/pedophile/ do harm to others.
I take Prozac, have seen a CBT therapist etc....
I am now 35 & have a good job, great friends & family.
Most of my mates r paired up/engaged/married. Socially I miss going out 'with the lads' & do get lonely a lot. Have had a few girlfriends, but never fallen in love: generally go out with a girl for up to 4/5 months & then things taper off.
I met a girl about 2 months ago & have been seeing her since: we have gone on numerous dates. She is really nice, fun,pretty & intelligent. I have had bouts of Gay OCD thoughts but ignored them. I am really keen to meet & have a girlfriend. K is keen to keep things progressing. Anyway, this morning & most of the night I was happy enough sleeping, whereas K wanted to kiss, cuddle etc: she asked why I was being standoffish: long chat: I said I like her and enjoy time, kissing etc,but sometimes I don't quite feel like it: I sometimes question how attracted I am to her, preferred previous girls breasts etc: doubts...doubts... I said maybe if we could take things a bit slower as I find intimacy lovely sometimes, but draining & tiring!! Bloody hell!! Anyway since talk feel bit sad & uneasy: am dying for the intimacy & when I get a hint of it I get lotsof doubts & find it hard to handle.
What u think?
Thanks for reading.....
Tiger","['hope', 'fall', 'OCD', 'joy', 'Thought']",0,0,0,0,0,0.0,"['thought', 'hand']","['ocd', 'joy', 'fall', 'thought', 'hope', 'hand']",,
"I am really suffering hard 2nite. So much so that i am getting really drunk cos i am so stuck.  Everything seems dirty and i am finding it almost impossible 2 start again, so i can do anything.",[],0,0,0,0,0,0.0,[],[],,
"Hey as you all now iv had ocd all my life its really dispaired my partners in the past due to the fact it seems althought i cant trust them even though i do its my ocd that doesnt...
my gf right now i love with all my heart i try my best for but my ocd makes me wanna ask her questions about the day or who shes bin hanging with i dont no why and the need to ask her is more than over welming i used 2 be able to stop some of the questions but i cant now i feel this massive urge to ask her and if i delay it i have a really bad sick feeling in my stumoch that then makes me feel sad and quite ill also due to the questions answers going through my head such as id ask her
have you snogged any one 2day?
and the answer in my head would be yes i go with every1
have you seen anyone you wouldnt of?
ye *list of ppl i dnt like or trust*
where have you been 2day?
ye back 2 some lads house
what have you been up2 2day?
******* all day..
things like that would come in 2 my head and i dont no how 2 deal with it and its braking us apart and i cant deal with loosing her i no it will break me apart if i do but shes threatening to leave me if i dont sort my ocd out but i cant just sort it out like that im goin back the doctors *again* about my ocd the last time i went he said they dont offer therapy any more and im goin back again 2 ask for some mediction to help me do it myself the main problem is the questions in my head and the images/ thoughts im getting i dont no what to do im hoping some1 can help me direct here and has the same kind of problem and will be able to help me out here.. it just seems if we argue it sets me off more or if i feel that summits wrong my ocd flairs up i end up washin my hands over and over b4 touching her because i think if i dont we will argue or summit she isnt the main part in my ocd atm although i get bad images / thoughts about my family etc its just we are having a dificualt time.
Thanks Jay","['urge', 'Thought', 'OCD']",0,0,0,0,0,0.0,"['image', 'thought', 'hand']","['ocd', 'image', 'thought', 'urge', 'hand']",,
"guess this is a rant.....although i know i'm not supposed to care because it's my ocd talking.....but i was in the ladies on two separate occasions and saw someone leave a cubicle and walk straight out.
I remember some time back and older lady walked out, the sort you would least expect and didn't wash her hands....i then saw her in the railway cafe handing money over to the poor cashier.....
what gets me is she had the real 'butter wouldn't melt' look - no one would ever have suspected her of being dirty so would take less precautions around her.
It's gross - why do people do it? (or not do it as the case may be)","['OCD', 'talking']",1,1,1,0,0,0.0,['hand'],"['talking', 'ocd', 'hand']",,
"Morning everybody
I have 2 questions that are haunting me and I really need to know if there is an answer to either of them
1 Is OCD hereditary?
2 Is paranoia part of OCD
My grandmother was always 'odd'. As I grew up I learned from my parents there was something 'not right' about her. She was a very nasty spiteful woman, but she did have habits that were not 'normal', such as wrapping things in brown paper and tying them with string and hiding them. Then getting them all out each morning and undoing them to check if 'they' had touched anything in the night. Then she would re wrap them and hide them again. She did this evey day. she was always talking about 'them' and what 'they' were plotting to do to her. we never did learn who 'they' were. 'People' were always talking about her, saying things behind her back and laughing at her. 'They' would pump gas through the ceiling to put her to sleep so 'they' could come in and do things. She was totally mistrustful of people and never had any friends.
When I was young my father took delight in telling me I was going to be just like my grandmother, which scared the out of me. but I am like her in a lot of ways and I don't want to be. I'd give anything not to be. But if I am, maybe there is a reason and although she was a very selfish, spiteful and nasty woman and I am not (I don't think ) maybe she was ill but it was just never recognised.
Well, if you are still with me after all that i would appreciate as much feedback on this as poss. as I feel as though I might be on the edge of something.
Have a good day :original:
Edited September 21, 2006 by Guest","['flatulence', 'OCD', 'talking']",0,0,0,0,0,0.0,['nasty'],"['flatulence', 'ocd', 'nasty', 'talking']",,
"Hi Everyone,
Im normally here saying how well its been going lately but ive had 2 mini blips. One was today and the other was a few days ago.
I know I should be taking the meds but I keep forgetting no matter how hard I try, I should have re-ordered some 2 weeks ago but I havent as I still have some left. My GP has noticed that I keep missing some and tells me how its important I keep to them.
Maybe this is why I have the blips. Just want to remember and also I dont want to be told off (I know I wont in a bad sense).
So annoyed with myself and got a new route tomorrow and SO NOT READY!!!!! :crybaby:",[],0,0,0,0,0,0.0,[],[],,
